l,m,v,n,t,b
0,0.0012144017770296626,1.131327752479696e-05,1201,Ks,all
3,0.05303848966131663,0.15225216713840617,1201,P2,all
6,0.04671811304145973,0.21444398083751146,1201,P2,all
9,0.04015946536785752,0.29834123578723004,1201,P2,all
12,0.03915241345089196,0.11227318383346477,1201,P2,all
15,0.02187045461540659,0.08802647501333397,1201,P2,all
18,0.03729086077277239,0.32759275358113404,1201,P2,all
21,0.017839579502970514,0.043501232750512944,1201,P2,all
24,0.04151642197890092,0.41789387752136953,1201,P2,all
27,0.01243915705616331,0.0198465901275096,1201,P2,all
30,0.02753785395434781,0.08405597898780107,1201,P2,all
33,0.02132671416888527,0.1391268906045404,1201,P2,all
36,0.008375967794497105,0.015738700406186534,1201,P2,all
39,0.011812854245493729,0.02282857528241856,1201,P2,all
42,0.02897770306944381,0.21568733502282186,1201,P2,all
45,0.02698637703043107,0.19919420878810595,1201,P2,all
48,0.008179362195397014,0.013625448041528241,1201,P2,all
51,0.010364777584750554,0.025479977253418808,1201,P2,all
54,0.010934547232252786,0.04309125822671023,1201,P2,all
57,0.012113886287369566,0.0480405310721632,1201,P2,all
60,0.009237528998989518,0.02762596522428255,1200,P2,all
63,0.0026375542124824534,0.0031778346224360186,1198,P2,all
66,0.010617800423121692,0.05687246145638076,1197,P2,all
69,0.020362788871045274,0.19257332786809067,1197,P2,all
72,0.016707641026771112,0.18971395653861187,1196,P2,all
75,0.0003063592753714856,0.00011197021468812736,1194,P2,all
78,0.0052473418075640954,0.016518422928458877,1192,P2,all
81,0,0,1188,P2,all
84,0,0,1185,P2,all
87,0.0034226589181819847,0.009743909605272789,1168,P2,all
90,0.007973728366489574,0.03175414690835355,1158,P2,all
93,0,0,1147,P2,all
96,0.009799334713985777,0.10841443878466395,1130,P2,all
99,0.0009693555053572227,0.0010364340556302946,1104,P2,all
102,1.573907221093682e-06,2.680313023740925e-09,1083,P2,all
105,0,0,1054,P2,all
108,0,0,1017,P2,all
111,0,0,980,P2,all
114,0,0,940,P2,all
117,0,0,886,P2,all
120,0,0,835,P2,all
123,0,0,777,P2,all
126,0,0,737,P2,all
129,0,0,689,P2,all
132,0,0,629,P2,all
135,0,0,569,P2,all
138,0,0,521,P2,all
141,0,0,486,P2,all
144,0,0,441,P2,all
147,0,0,391,P2,all
150,0,0,347,P2,all
153,0,0,303,P2,all
156,0,0,258,P2,all
159,0,0,223,P2,all
162,0,0,193,P2,all
165,0,0,155,P2,all
168,0,0,123,P2,all
171,0,0,106,P2,all
174,0,0,84,P2,all
177,0,0,53,P2,all
180,0,0,30,P2,all
183,0,0,7,P2,all
0,0.30057604972233826,0.6271628713529079,1201,P4,all
3,0.03166014443704044,0.06808413921077447,1201,P4,all
6,0.028043782466440608,0.09033540337010043,1201,P4,all
9,0.022387483159698178,0.06104171397947904,1201,P4,all
12,0.02515671077901621,0.07181687465839083,1201,P4,all
15,0.017352128730871604,0.048634877992583425,1201,P4,all
18,0.019603322083923246,0.056145530780165084,1201,P4,all
21,0.017064901056168202,0.04853401133804729,1201,P4,all
24,0.017129244788450616,0.04057761231306726,1201,P4,all
27,0.015175301070033497,0.04282844238010428,1201,P4,all
30,0.018833667432573496,0.03939336639255787,1201,P4,all
33,0.014417793775669685,0.034092101800308944,1201,P4,all
36,0.010997503330126342,0.023838171052298154,1201,P4,all
39,0.014182061638634853,0.02878278625108082,1201,P4,all
42,0.014381740740768083,0.01891039683259286,1201,P4,all
45,0.012019957138131442,0.020184143436846,1201,P4,all
48,0.009204433884890471,0.014986224058419532,1201,P4,all
51,0.007938372525878788,0.010266840335904526,1201,P4,all
54,0.008743631531399489,0.010872522198231156,1201,P4,all
57,0.009732374478340675,0.011837597485251863,1201,P4,all
60,0.007504427928709131,0.005383288307874352,1201,P4,all
63,0.006128782788919254,0.0052402895226215905,1200,P4,all
66,0.005110926610639338,0.003016589188151483,1199,P4,all
69,0.005228368260947102,0.0031654839979330432,1199,P4,all
72,0.00829217500057922,0.007594831139998736,1198,P4,all
75,0.0030643591765619734,0.0022929648858783023,1197,P4,all
78,0.004924283217353725,0.0034830409731197395,1197,P4,all
81,0.0019711518220082384,0.0007494046714716645,1196,P4,all
84,0.0028626432043388876,0.0015882763138567548,1196,P4,all
87,0.0027448961035692622,0.0015844482469456874,1195,P4,all
90,0.004684988266146583,0.002771096285817674,1193,P4,all
93,0.0020624114072941447,0.0009341906822419641,1192,P4,all
96,0.003983609745265728,0.004253680537197886,1192,P4,all
99,0.0016425126600277049,0.0006819576884291986,1193,P4,all
102,0.001294920303442121,0.00032038719345701874,1193,P4,all
105,0.0036443129201850963,0.005213119168145579,1193,P4,all
108,0.002516925520277486,0.0017620592126639356,1193,P4,all
111,0.002953813877219659,0.001878201810023956,1193,P4,all
114,0.000712978653844307,0.00015822657245712226,1193,P4,all
117,0.0021850670115364625,0.0015810212225223562,1193,P4,all
120,0.002313061224163935,0.0013662574437971866,1192,P4,all
123,0.002862779801483168,0.002360145608581448,1192,P4,all
126,0.0026849946041749935,0.00463334664418935,1192,P4,all
129,0.00022741233721336877,4.359297171930158e-05,1192,P4,all
132,0.00037706330500368227,6.29451310063945e-05,1192,P4,all
135,0.0013916952584006768,0.0006562693644935324,1192,P4,all
138,0.0008049340680915949,0.0003715563658159155,1192,P4,all
141,0.0013724736134161726,0.0005571757527095972,1192,P4,all
144,0.0012932386722336662,0.0005819554198975505,1190,P4,all
147,0.002881437666553428,0.0035493671646391143,1189,P4,all
150,0.0037418074233525,0.003168462258258444,1188,P4,all
153,0.0025977675068600548,0.0013918240909715017,1188,P4,all
156,0.0005867771512280581,0.00019867821815804475,1184,P4,all
159,0.0037103185695822635,0.0033068239489262297,1183,P4,all
162,0.0038780505954810547,0.001976843952367418,1183,P4,all
165,0.003043993678125985,0.0018242687689480066,1182,P4,all
168,0.002431337746395011,0.001883432533481523,1180,P4,all
171,0.007268119109924987,0.0183961293716095,1180,P4,all
174,0.003653366698161791,0.0031898183205669316,1179,P4,all
177,0.0017509154305804847,0.0007241625028577682,1179,P4,all
180,0.0036232995973426445,0.0026629742722227246,1179,P4,all
183,0.0028174701460427966,0.0027106436996210473,1178,P4,all
186,0.0024582622248017906,0.0025654072968169617,1177,P4,all
189,0.0007856249354819681,0.00024312702827019062,1177,P4,all
192,0.0007336301671856876,0.00020214175763691802,1178,P4,all
195,0.0012455829661192185,0.0005456482989896876,1178,P4,all
198,0.0024338500948796597,0.001179167766984285,1177,P4,all
201,0.0022440065091235413,0.001105677689402447,1177,P4,all
204,0.0031641589879864295,0.003713488307795791,1177,P4,all
207,0.003079882587913484,0.002683890526393045,1176,P4,all
210,0.00473959720744745,0.004714275833440084,1172,P4,all
213,0.004727220570742383,0.011342160512377639,1171,P4,all
216,0.002575430375721562,0.003184942922985023,1170,P4,all
219,0.0013174162450533555,0.0004871450500956168,1168,P4,all
222,0.002979400227352287,0.002119680334306712,1168,P4,all
225,0.0033887094123206895,0.0031278231802595417,1166,P4,all
228,0.0018542248492747966,0.0009493722325850795,1165,P4,all
231,0.0008978277480447067,0.00039895050382717493,1164,P4,all
234,0.0021788928030014956,0.0012786093122990766,1160,P4,all
237,0.0026241211914771493,0.0018437369893720824,1160,P4,all
240,0.002724854987085439,0.0014867828514363976,1157,P4,all
243,0.0032620636005962407,0.0027457577031637305,1156,P4,all
246,0.0016049595622265728,0.0007830442680297983,1155,P4,all
249,0.0021827515019061357,0.001028188113314013,1153,P4,all
252,0.0039862362396261555,0.0029006985655268104,1151,P4,all
255,0.003217319212476696,0.001725307458125597,1151,P4,all
258,0.0026184554299120122,0.001847475098344625,1148,P4,all
261,0.0031580320592844704,0.0017968534435380628,1146,P4,all
264,0.0025381984894226003,0.0014516796525577416,1144,P4,all
267,0.002458658001620197,0.0015421563688430462,1143,P4,all
270,0.002116565100218612,0.0014592804463338031,1141,P4,all
273,0.0024996517497862174,0.0020352552655921925,1138,P4,all
276,0.0038406979649775533,0.0029968653017377568,1134,P4,all
279,0.002488053283114381,0.0019304829281281096,1132,P4,all
282,0.001072525764364532,0.00041156522759363856,1128,P4,all
285,0.0012062049182668994,0.0008951076084877668,1126,P4,all
288,0.0006209561042050375,0.0001607360703111638,1124,P4,all
291,0.003891993685233588,0.003921817892630827,1119,P4,all
294,0.0016415638123514372,0.0006933780779138219,1116,P4,all
297,0.0015695883471336914,0.0012148606694355067,1115,P4,all
