l,m,v,n,t,b
0,0.00431035370180418,1.892623851796916e-05,1336,Ks,all
3,0.0371639859636072,0.035631469260329215,1336,P2,all
6,0.02880946328224288,0.022125441390133296,1336,P2,all
9,0.017663864369443644,0.013808546362987381,1336,P2,all
12,0.022727211997670943,0.013994786221958226,1336,P2,all
15,0.019861962219137396,0.01432099317491402,1336,P2,all
18,0.018617704622728326,0.015802134807656534,1336,P2,all
21,0.01997034451413541,0.021117379483585934,1336,P2,all
24,0.016979635128699114,0.02206503493150873,1336,P2,all
27,0.014598972200635963,0.010235236186244744,1336,P2,all
30,0.017376534763182103,0.01238502884439706,1336,P2,all
33,0.01592684301034367,0.011933320257984447,1336,P2,all
36,0.019102528695210435,0.027335847619406297,1336,P2,all
39,0.01918226324674134,0.03023489047504714,1336,P2,all
42,0.01847962235297596,0.021384030019129065,1336,P2,all
45,0.017618649075091235,0.022090426101511677,1336,P2,all
48,0.014224619651937677,0.011865661125543844,1336,P2,all
51,0.012559105635321808,0.005742074421554939,1336,P2,all
54,0.01525026222788422,0.01165897356720267,1336,P2,all
57,0.010509140299632997,0.005853718355290776,1335,P2,all
60,0.013233632997226758,0.015546181019848667,1335,P2,all
63,0.007440151473664428,0.006554090592002798,1335,P2,all
66,0.010884303366856226,0.00979043226323534,1335,P2,all
69,0.016310230242355537,0.04448272805232791,1335,P2,all
72,0.00850144170916841,0.005353835631304829,1335,P2,all
75,0.007824761049979822,0.005852654777963605,1335,P2,all
78,0.010536398928143271,0.010459239932029558,1335,P2,all
81,0.012014018080784804,0.014558400085123534,1335,P2,all
84,0.005771117450878803,0.0064523418719063036,1334,P2,all
87,0.010709974422590543,0.018647014955777155,1334,P2,all
90,0.004186586469892155,0.0034901896754685217,1333,P2,all
93,0.00430555441023613,0.0040135874547665195,1330,P2,all
96,0.015018588791500902,0.061336925661091495,1328,P2,all
99,0.011775916631402216,0.02942734866298666,1325,P2,all
102,0.004490663512007839,0.007396223288693209,1324,P2,all
105,0.004442266128224434,0.00812292229075305,1319,P2,all
108,0.006574302031921135,0.023258114400983257,1314,P2,all
111,0.002229966048419662,0.0041287108079743565,1312,P2,all
114,0.007759720826259435,0.05695337578622536,1306,P2,all
117,0.005367086006057206,0.022179395108558157,1298,P2,all
120,0.009658544327322879,0.08718450393576016,1284,P2,all
123,1.2626594571121734e-06,2.0088292198398585e-09,1261,P2,all
126,0.006715869455704005,0.05593261835939673,1243,P2,all
129,7.258718313898172e-06,6.449132567007735e-08,1225,P2,all
132,6.459509843767777e-07,4.973651876670551e-10,1193,P2,all
135,6.196045833059815e-06,4.484066927156138e-08,1169,P2,all
138,0,0,1134,P2,all
141,0,0,1093,P2,all
144,0,0,1053,P2,all
147,3.631839768408875e-05,1.3071547762465666e-06,992,P2,all
150,0,0,925,P2,all
153,0,0,875,P2,all
156,6.397008979506113e-05,3.2778300830989345e-06,802,P2,all
159,0.00012674362818510692,1.1742745465718506e-05,732,P2,all
162,0,0,641,P2,all
165,0,0,543,P2,all
168,0,0,451,P2,all
171,0,0,379,P2,all
174,0,0,297,P2,all
177,0,0,204,P2,all
