l,m,v,n,t,b
0,0.0013054675226764972,1.2451983982605523e-05,1304,Ks,all
3,0.052329061069971275,0.18113194763167514,1304,P2,all
6,0.04665468600293626,0.23089935541151743,1304,P2,all
9,0.03554113679308994,0.4496538834411869,1304,P2,all
12,0.033544450641327814,0.07742144658457764,1304,P2,all
15,0.02885349939820226,0.15336775083309773,1304,P2,all
18,0.04670545150745565,0.6504713029277497,1304,P2,all
21,0.016651215419132562,0.02674685799021689,1304,P2,all
24,0.05141266437453977,0.8895849819175837,1304,P2,all
27,0.010805331665948005,0.010310805536788077,1304,P2,all
30,0.01827995848252423,0.04306110007085903,1304,P2,all
33,0.03149308107525218,0.3430852692278753,1304,P2,all
36,0.00652506196832519,0.005841920437087211,1304,P2,all
39,0.01159021559700024,0.015901795256574237,1304,P2,all
42,0.03750639397310258,0.5015569925807334,1304,P2,all
45,0.02165235815143642,0.13954659162554936,1304,P2,all
48,0.005096038871748958,0.0032138416535845613,1304,P2,all
51,0.010676767745355647,0.021363502780060748,1304,P2,all
54,0.009658678102570156,0.02623434174181321,1304,P2,all
57,0.009728133973617192,0.022250181684179037,1304,P2,all
60,0.010358225033019914,0.040634570197582584,1304,P2,all
63,0.0030509715036928383,0.005400069663981291,1303,P2,all
66,0.00828650004001422,0.04370045581635077,1302,P2,all
69,0.01883391557317932,0.16566201225702873,1301,P2,all
72,0.011230676319688028,0.1051180778190511,1298,P2,all
75,0.00031167735668207234,0.00012560560764614324,1294,P2,all
78,0.0031532867443145357,0.00877829293843872,1290,P2,all
81,6.4828003443961e-07,5.37101229901762e-10,1279,P2,all
84,2.0560587853255568e-08,5.381451848653437e-13,1274,P2,all
87,0.0005128832039053906,0.00032986367278371644,1255,P2,all
90,0.002382518449904412,0.004190071363526459,1241,P2,all
93,0,0,1223,P2,all
96,0.0014228005753663558,0.002419111965329086,1196,P2,all
99,0,0,1167,P2,all
102,0,0,1145,P2,all
105,0,0,1113,P2,all
108,0,0,1073,P2,all
111,0,0,1031,P2,all
114,0,0,988,P2,all
117,0,0,929,P2,all
120,0,0,873,P2,all
123,0,0,809,P2,all
126,0,0,766,P2,all
129,0,0,717,P2,all
132,0,0,653,P2,all
135,0,0,591,P2,all
138,0,0,538,P2,all
141,0,0,504,P2,all
144,0,0,455,P2,all
147,0,0,401,P2,all
150,0,0,356,P2,all
153,0,0,311,P2,all
156,0,0,265,P2,all
159,0,0,231,P2,all
162,0,0,199,P2,all
165,0,0,161,P2,all
168,0,0,128,P2,all
171,0,0,109,P2,all
174,0,0,85,P2,all
177,0,0,54,P2,all
180,0,0,31,P2,all
183,0,0,7,P2,all
0,0.3067801621283353,0.5970513945165844,1304,P4,all
3,0.029972488199128653,0.07587066649450402,1304,P4,all
6,0.025623714481343013,0.0849678334201874,1304,P4,all
9,0.020715285229982665,0.06538455941568444,1304,P4,all
12,0.02143105461400175,0.07201529840333579,1304,P4,all
15,0.0195607172534679,0.059945926604513464,1304,P4,all
18,0.02069585936115311,0.06422558013954445,1304,P4,all
21,0.0168804414834388,0.04925154106397293,1304,P4,all
24,0.017150051870976693,0.04615502664358699,1304,P4,all
27,0.014193909940990585,0.04003756878244788,1304,P4,all
30,0.01750886599666633,0.038588154947857854,1304,P4,all
33,0.01455343826289961,0.034446445669236346,1304,P4,all
36,0.010897472667946686,0.02437198727659843,1304,P4,all
39,0.01272137465484798,0.023567504955608585,1304,P4,all
42,0.01404369918328541,0.019155980581896697,1304,P4,all
45,0.010663055722221334,0.018157056046815785,1304,P4,all
48,0.008666331280046614,0.0123235266209149,1304,P4,all
51,0.008978002685126205,0.014051607102172344,1304,P4,all
54,0.008187796886069127,0.009168072510938785,1304,P4,all
57,0.009534840118058186,0.010528026088216905,1304,P4,all
60,0.00704476110410638,0.0053385612741508074,1304,P4,all
63,0.005566013793384121,0.004162790545257729,1303,P4,all
66,0.006093467354579175,0.004449572369607777,1303,P4,all
69,0.005632076155316343,0.0029144594023282682,1303,P4,all
72,0.007695225545456514,0.005917186805422422,1302,P4,all
75,0.0043086357024706675,0.0026145595451379914,1302,P4,all
78,0.005465693153344991,0.0053290273577913105,1302,P4,all
81,0.0032285196444519996,0.001365984725421423,1302,P4,all
84,0.002741235132221422,0.0010547082356688218,1302,P4,all
87,0.002327649111164774,0.0006615113064854523,1302,P4,all
90,0.0040429388226593775,0.0030652230864238184,1301,P4,all
93,0.0017964747437258241,0.0006138939266601593,1300,P4,all
96,0.002572317604072147,0.001776293795139945,1300,P4,all
99,0.0014122395195069247,0.0005450979939102377,1300,P4,all
102,0.001558426206576833,0.0004938994683792866,1300,P4,all
105,0.0029804303192205363,0.0036823719403682557,1300,P4,all
108,0.002256235691617785,0.0010272651927296325,1300,P4,all
111,0.003067638465058011,0.0013412807468207604,1300,P4,all
114,0.0008925625337556483,0.00013613166794490298,1300,P4,all
117,0.0026026509624412315,0.0011827184268721298,1300,P4,all
120,0.002886204534463721,0.0028106816582699375,1298,P4,all
123,0.003483980533074277,0.0042192454446974064,1298,P4,all
126,0.003130787481086692,0.002635421752574784,1298,P4,all
129,0.0006937044528636005,0.0002950503004543529,1298,P4,all
132,0.0005212253114021663,0.00010108110331795718,1297,P4,all
135,0.0012704388113104002,0.0006680186952486776,1296,P4,all
138,0.0015148644119040615,0.0010084791401455957,1294,P4,all
141,0.0015965189088316476,0.0007424906095703842,1294,P4,all
144,0.001268533508933699,0.00032905137636987414,1291,P4,all
147,0.0027506448670571552,0.0026531063627813502,1290,P4,all
150,0.003301862745507836,0.002821660792599272,1289,P4,all
153,0.0021889732583716547,0.0010659149489503556,1288,P4,all
156,0.0017350059674902355,0.0007425599809895376,1285,P4,all
159,0.004056697978983685,0.004946800287459143,1285,P4,all
162,0.004161157328457165,0.0021761426965272303,1285,P4,all
165,0.0029866001327053878,0.0016402516212211489,1285,P4,all
168,0.0017881752099816928,0.0010449107934847528,1283,P4,all
171,0.005013810279436681,0.005569062047360822,1283,P4,all
174,0.0028679621733678495,0.0017998685399484334,1282,P4,all
177,0.0017383863016229258,0.0006537309860389444,1282,P4,all
180,0.0035084277867961393,0.002875540355954897,1281,P4,all
183,0.0026393203679096326,0.0014189172319520463,1280,P4,all
186,0.0017710427142318334,0.0010029972220444365,1279,P4,all
189,0.0011176449569938814,0.0004009496099126907,1278,P4,all
192,0.0009320747616641633,0.0002947725357725931,1277,P4,all
195,0.0017186641502659394,0.0015862486860187869,1277,P4,all
198,0.0021097227987542455,0.0013748382139284307,1276,P4,all
201,0.0032538820489409867,0.0017457751460669922,1276,P4,all
204,0.0029041247855350863,0.002847155900547011,1277,P4,all
207,0.0035717672732373112,0.002114390974439589,1275,P4,all
210,0.004471849990342463,0.003524305597894629,1272,P4,all
213,0.004605753255969477,0.009585165693147898,1270,P4,all
216,0.0028458840759253414,0.0028209961445105174,1269,P4,all
219,0.0015152764214837956,0.0005716238563631377,1267,P4,all
222,0.004389333708738279,0.004838216348771531,1265,P4,all
225,0.0034069766805768587,0.002110571367271086,1265,P4,all
228,0.003170486224921529,0.002093450825558306,1263,P4,all
231,0.0013859092753251891,0.0006214429469094018,1262,P4,all
234,0.0022812011796245132,0.0012200144096463905,1257,P4,all
237,0.002653366403090918,0.0017915185984827284,1256,P4,all
