l,m,v,n,t,b
0,0.0011161805625582756,9.65864944267438e-06,1179,Ks,all
3,0.05855190499382927,0.20061595569039264,1179,P2,all
6,0.05857425221613421,0.3347363211780105,1179,P2,all
9,0.03843772329965738,0.19351428811374022,1179,P2,all
12,0.045430384829463565,0.18000477287601735,1179,P2,all
15,0.023572665793387158,0.0674053474320565,1179,P2,all
18,0.04015590810428416,0.23853052071844782,1179,P2,all
21,0.017950739562512183,0.04507931279095721,1179,P2,all
24,0.040384337164339694,0.2999064185480897,1179,P2,all
27,0.013264132929097625,0.022596844861455107,1179,P2,all
30,0.0323737572233131,0.13834116752745632,1179,P2,all
33,0.019289696490032343,0.08333041166183376,1179,P2,all
36,0.012152166458886164,0.039623977442798164,1179,P2,all
39,0.008883768632195836,0.01650837745553149,1179,P2,all
42,0.028309531222853266,0.1489556123522435,1179,P2,all
45,0.028144373201145344,0.22340504947262552,1179,P2,all
48,0.004742328592457257,0.007003255027559845,1179,P2,all
51,0.012885821033779972,0.03959267201172176,1179,P2,all
54,0.004788352592639302,0.0076507416678440986,1179,P2,all
57,0.010957495282211464,0.06332047699573493,1179,P2,all
60,0.009680266809409485,0.037720398366235204,1179,P2,all
63,0.0021187811419302012,0.002995039983315985,1178,P2,all
66,0.014711239806303573,0.1058153374846841,1176,P2,all
69,0.018368169177431795,0.16525896269552473,1176,P2,all
72,0.011021548907032663,0.06465296012426686,1174,P2,all
75,0.0005203204195305869,0.0003170287399461517,1172,P2,all
78,0.00603562996025645,0.03176794432926863,1169,P2,all
81,0,0,1166,P2,all
84,0,0,1163,P2,all
87,0.0009740759779372585,0.0006023276534546289,1147,P2,all
90,0.006502329676652834,0.0333138594177131,1136,P2,all
93,0,0,1125,P2,all
96,0.0011064141704001653,0.0013539124620072901,1107,P2,all
99,0.0010301690903958035,0.0011503932166106996,1085,P2,all
102,0,0,1064,P2,all
105,0,0,1036,P2,all
108,0,0,1001,P2,all
111,0,0,966,P2,all
114,0,0,931,P2,all
117,0,0,877,P2,all
120,0,0,831,P2,all
123,0,0,772,P2,all
126,0,0,732,P2,all
129,0,0,684,P2,all
132,0,0,623,P2,all
135,0,0,563,P2,all
138,0,0,518,P2,all
141,0,0,479,P2,all
144,0,0,435,P2,all
147,0,0,386,P2,all
150,0,0,342,P2,all
153,0,0,302,P2,all
