l,m,v,n,t,b
0,0.0019173025798473898,1.4577784324103475e-05,1337,Ks,all
3,0.060657591745280404,0.10352708934150903,1337,P2,all
6,0.05024599584583159,0.0979941146003415,1337,P2,all
9,0.03176711454418166,0.03419733779107147,1337,P2,all
12,0.044890733629577385,0.09391082826806166,1337,P2,all
15,0.03050890491246177,0.04455064480011409,1337,P2,all
18,0.029690840437766073,0.05581754792575274,1337,P2,all
21,0.02887558641772509,0.04289087662290788,1337,P2,all
24,0.029113541046217006,0.052469482483545646,1337,P2,all
27,0.02893682644190931,0.04198950566597292,1337,P2,all
30,0.020694238418809453,0.030311757994114986,1337,P2,all
33,0.026499141078639293,0.03690526025160694,1337,P2,all
36,0.01999463916285844,0.028377871509657183,1337,P2,all
39,0.026865344077077906,0.06179573349144227,1337,P2,all
42,0.03451571475944754,0.07903989655675171,1337,P2,all
45,0.0253734799777367,0.05834878467165767,1337,P2,all
48,0.020553354140381633,0.03391014598895669,1337,P2,all
51,0.01777987030993356,0.021687283320121008,1337,P2,all
54,0.0209304429742977,0.03485191879736664,1337,P2,all
57,0.01662452164905822,0.021798426346377953,1337,P2,all
60,0.017293071662222652,0.03489722108298496,1337,P2,all
63,0.006941312033487523,0.009490357892307578,1337,P2,all
66,0.01894734629645827,0.052028925852563954,1336,P2,all
69,0.02635266680608749,0.221151898646628,1336,P2,all
72,0.00722996865195735,0.022162984437858083,1335,P2,all
75,0.006689950514424157,0.014754425903156685,1335,P2,all
78,0.014884153244304619,0.07453500319858826,1334,P2,all
81,0.006555296979109101,0.028167026515670456,1333,P2,all
84,0.0032476903369679233,0.006861737408170197,1332,P2,all
87,0.002451912004349934,0.0043974252335959325,1330,P2,all
90,0.001255048156298139,0.0015172127519665535,1326,P2,all
93,0.004680350842645161,0.014842388742140276,1325,P2,all
96,0.003848177465015002,0.016267186939918413,1319,P2,all
99,0.006283862309244319,0.03570512488306074,1311,P2,all
102,0.0010527659235992106,0.0008534086788179024,1304,P2,all
105,0.00014775083946967104,2.8226591559242303e-05,1294,P2,all
108,0.00017628630142319486,3.9964842049337794e-05,1287,P2,all
111,0.0007092872654294709,0.0006374130343488279,1268,P2,all
114,0.00029512638202259443,0.00010870027754445145,1249,P2,all
117,0.00034646227519671504,0.00014632401581593635,1220,P2,all
120,0.00028048261777867146,9.377523466016374e-05,1193,P2,all
123,0.0003622104077490911,0.0001523189965783267,1162,P2,all
126,0,0,1137,P2,all
129,0.0005797007330041285,0.0003679779691308487,1096,P2,all
132,0,0,1043,P2,all
135,0,0,982,P2,all
138,0,0,925,P2,all
141,0,0,862,P2,all
144,0,0,814,P2,all
147,0,0,736,P2,all
150,0,0,669,P2,all
153,0,0,594,P2,all
156,0,0,527,P2,all
159,0,0,457,P2,all
162,0,0,390,P2,all
165,0,0,338,P2,all
168,0,0,286,P2,all
171,0,0,227,P2,all
174,0,0,175,P2,all
177,0,0,110,P2,all
180,0,0,56,P2,all
183,0,0,15,P2,all
0,0.3979793331979009,0.6395348132338774,1337,P4,all
3,0.04343606355064456,0.049810293887140096,1337,P4,all
6,0.03151741784031462,0.04054568396790855,1337,P4,all
9,0.025578759764826233,0.030755178896477525,1337,P4,all
12,0.029998234651432372,0.035993098385255856,1337,P4,all
15,0.02416228564403382,0.030686418500977,1337,P4,all
18,0.02300482530469459,0.02971376358033343,1337,P4,all
21,0.02268897318797194,0.026105035986431706,1337,P4,all
24,0.02154192402271646,0.021717948878467182,1337,P4,all
27,0.021523556568893938,0.01993666799377965,1337,P4,all
30,0.017601268305864455,0.016993850399326826,1337,P4,all
33,0.020535454189263985,0.018338508147121308,1337,P4,all
36,0.020874778573597475,0.019309804071453992,1337,P4,all
39,0.017764791582442107,0.014316331495733586,1337,P4,all
42,0.017112724396672895,0.01061293787999233,1337,P4,all
45,0.013726745855895103,0.007843617234744572,1337,P4,all
48,0.01764002595956761,0.009881217453540998,1337,P4,all
51,0.014625430395133579,0.007418198742332112,1337,P4,all
54,0.017117915630780443,0.013443868464884969,1337,P4,all
57,0.011879596381404896,0.004690492086811116,1337,P4,all
60,0.012479793230857,0.006104052505717297,1337,P4,all
63,0.010493709172509576,0.0049910844112941105,1337,P4,all
66,0.010654767985219294,0.0039164615135246685,1336,P4,all
69,0.013132178821457223,0.005967853920542631,1336,P4,all
72,0.009197041142742083,0.004094109087765814,1336,P4,all
75,0.010294229416008159,0.003338980582390384,1336,P4,all
78,0.010880843392644238,0.0034441392014723767,1336,P4,all
81,0.011118020033219682,0.005907093746893573,1336,P4,all
84,0.009957264089590022,0.003727016599588984,1336,P4,all
87,0.010302358799657237,0.005252695167478801,1336,P4,all
90,0.008418314158182684,0.0029911070817706603,1335,P4,all
93,0.007990065888984849,0.002855567506984149,1335,P4,all
96,0.008722990995525166,0.0031862909790015418,1335,P4,all
