l,m,v,n,t,b
0,0.0013175721752126922,1.2682954689832754e-05,1302,Ks,all
3,0.05143726446138092,0.17992468914259782,1302,P2,all
6,0.04733827860372441,0.2525453540791347,1302,P2,all
9,0.035143106664966096,0.4407027072266959,1302,P2,all
12,0.03446692778995417,0.08969368340372874,1302,P2,all
15,0.029502449192789278,0.14782434180289528,1302,P2,all
18,0.047753634243415,0.6642129140458658,1302,P2,all
21,0.01644696532920682,0.02523085314836199,1302,P2,all
24,0.05104306280025755,0.8837405280782786,1302,P2,all
27,0.010396335277475775,0.00926758749255548,1302,P2,all
30,0.019142912447297135,0.05479766303843091,1302,P2,all
33,0.030145376249898544,0.33594736768168326,1302,P2,all
36,0.0059767194200605715,0.004707071705457183,1302,P2,all
39,0.010792712391759498,0.01545651495621149,1302,P2,all
42,0.03780585237405371,0.5072890634131221,1302,P2,all
45,0.019384553987324023,0.11519691150979398,1302,P2,all
48,0.005270905296521307,0.003892735101359587,1302,P2,all
51,0.010862615269073164,0.02278207487464557,1302,P2,all
54,0.008275197839393197,0.020520111148249278,1302,P2,all
57,0.010773034389650927,0.028123380997366238,1302,P2,all
60,0.010796168568367242,0.042734554556784335,1302,P2,all
63,0.002591731698403176,0.0037993481047710756,1301,P2,all
66,0.008022714317408652,0.03541687085804744,1300,P2,all
69,0.015918599222325556,0.12583337511352968,1299,P2,all
72,0.00845639767045382,0.05152192272304578,1296,P2,all
75,0.00015027782716946014,2.9155202112357542e-05,1292,P2,all
78,0.0031103653462817185,0.009268789465406572,1288,P2,all
81,0,0,1278,P2,all
84,0,0,1273,P2,all
87,0.0004889896320502203,0.00029960590789651913,1254,P2,all
90,0.0022766080634286545,0.003818034045233532,1240,P2,all
93,0,0,1221,P2,all
96,0.0012742745270548814,0.0019371642553690195,1194,P2,all
99,0,0,1166,P2,all
102,0,0,1143,P2,all
105,0,0,1111,P2,all
108,0,0,1071,P2,all
111,0,0,1032,P2,all
114,0,0,989,P2,all
117,0,0,931,P2,all
120,0,0,876,P2,all
123,0,0,813,P2,all
126,0,0,769,P2,all
129,0,0,720,P2,all
132,0,0,655,P2,all
135,0,0,596,P2,all
138,0,0,543,P2,all
141,0,0,505,P2,all
144,0,0,455,P2,all
147,0,0,402,P2,all
150,0,0,356,P2,all
153,0,0,312,P2,all
156,0,0,265,P2,all
159,0,0,231,P2,all
162,0,0,200,P2,all
165,0,0,160,P2,all
168,0,0,127,P2,all
171,0,0,107,P2,all
174,0,0,83,P2,all
177,0,0,52,P2,all
180,0,0,30,P2,all
183,0,0,7,P2,all
0,0.3019484235123075,0.5466487377721656,1302,P4,all
3,0.02800403688377015,0.057687325256678315,1302,P4,all
6,0.02278570061698673,0.05049504780099668,1302,P4,all
9,0.019042260723379615,0.04769594013779009,1302,P4,all
12,0.02024324720212318,0.047086549429384526,1302,P4,all
15,0.017637918802222093,0.04026607498320082,1302,P4,all
18,0.01889135920647551,0.044426281401913,1302,P4,all
21,0.015120785202017924,0.03261516215161122,1302,P4,all
24,0.014903032600271053,0.026418465708892752,1302,P4,all
27,0.01288551754864719,0.023036374611403492,1302,P4,all
30,0.016741934024830173,0.026779943060938245,1302,P4,all
33,0.012975901582194919,0.02198954232841716,1302,P4,all
36,0.009422598032885894,0.013974577604065185,1302,P4,all
39,0.011247732939867812,0.013424330747428515,1302,P4,all
42,0.012537809862892074,0.012390650736358168,1302,P4,all
45,0.008299326797572967,0.009117568308511405,1302,P4,all
48,0.006660345042278546,0.006750453267455717,1302,P4,all
51,0.00679319733003105,0.006514613792207703,1302,P4,all
54,0.0065168933107918915,0.005774199003619171,1302,P4,all
57,0.007913595387779599,0.007078056120819388,1302,P4,all
60,0.005892070380555327,0.003402368729173464,1302,P4,all
63,0.004996144595377881,0.0028611752827546392,1301,P4,all
66,0.004589585430677814,0.0023184071065839845,1300,P4,all
69,0.004899201560858624,0.0023588828347169753,1300,P4,all
72,0.0066842080673869785,0.005266003733757936,1299,P4,all
75,0.00306215500035196,0.0017063345551468628,1299,P4,all
78,0.004956902390018597,0.004701859659585542,1299,P4,all
81,0.0027205795228437543,0.0012364672240360282,1299,P4,all
84,0.0023498654555708476,0.0009683003134605035,1299,P4,all
87,0.002090499785483959,0.0007205633898062457,1299,P4,all
90,0.003951173654905195,0.003057605666225942,1298,P4,all
93,0.0021291067310228373,0.0007218144757469735,1297,P4,all
96,0.002703012815238882,0.0017378838843111993,1297,P4,all
99,0.0014374202407279547,0.0004896163057902139,1297,P4,all
102,0.0011281604936938443,0.0003570548327938034,1297,P4,all
105,0.002990186089086621,0.0037779359111231735,1297,P4,all
108,0.0021982238274398415,0.001119352844178464,1297,P4,all
111,0.003101109325244058,0.0013448521673843773,1297,P4,all
114,0.0009996943373682557,0.00017895070883828783,1297,P4,all
117,0.0026862908149714758,0.0012147990820533794,1297,P4,all
120,0.0026817286013207237,0.002474476099207432,1296,P4,all
123,0.003211368947192388,0.004105501909875996,1296,P4,all
126,0.0031340828921016584,0.0029647646579525917,1296,P4,all
129,0.0007553077927837176,0.00032902741258920495,1296,P4,all
132,0.00047820230161659607,8.11972822814452e-05,1295,P4,all
135,0.0011744710156423273,0.000584196712358413,1294,P4,all
138,0.0014297328491945818,0.001201209330550047,1292,P4,all
141,0.001636825676150317,0.0007709464044959283,1292,P4,all
144,0.001587546019707631,0.0004560744804775805,1289,P4,all
147,0.0028789860277335546,0.0027518723648608913,1288,P4,all
150,0.002929805678249977,0.002258039741657629,1287,P4,all
153,0.002046363307822217,0.0009396245270859998,1286,P4,all
156,0.001364819101234541,0.0005603466414415498,1283,P4,all
159,0.003920486332235537,0.004770867371504556,1283,P4,all
162,0.0039009101831395986,0.0019033302573976973,1283,P4,all
165,0.0027499684537310087,0.0014697659655937324,1283,P4,all
168,0.0018165653108085627,0.0010845269453026666,1281,P4,all
171,0.004514714255775266,0.004112804500175881,1281,P4,all
174,0.002899893646526355,0.0018802295776294078,1280,P4,all
177,0.0018685390494634709,0.0007076514409362262,1280,P4,all
