l,m,v,n,t,b
0,0.0003229080893460865,7.408120973897749e-06,1313,Ks,all
3,0.12146141308469172,5.042930606493828,1313,P2,all
6,0.10004688905688017,2.8994993676288505,1313,P2,all
9,0.08103386711365514,2.626921335456129,1313,P2,all
12,0.07867443069532662,2.4071594895342217,1313,P2,all
15,0.10783419837781673,3.5463921710607984,1313,P2,all
18,0.0692439385346202,1.9895022342097406,1313,P2,all
21,0.0450422534322883,0.6308158372256986,1313,P2,all
24,0.050550669520869944,0.7415300104442727,1313,P2,all
27,0.07783888980627449,1.2981227561844826,1313,P2,all
30,0.06856480893012157,0.8628437219924306,1313,P2,all
33,0.0447673234333776,1.2148483241522094,1313,P2,all
36,0.059164233966263045,1.002089630849639,1313,P2,all
39,0.031997150203077605,0.3048764486203083,1313,P2,all
42,0.04999549743508965,1.7985160221923842,1313,P2,all
45,0.02721196104037303,0.5709457878742187,1313,P2,all
48,0.03517272093020504,0.25630812534812775,1313,P2,all
51,0.056585966939037696,0.9959040613714145,1313,P2,all
54,0.07246744266983188,3.217588312822597,1313,P2,all
57,0.06090427893438779,1.8710171006204979,1313,P2,all
60,0.04860068165679202,2.1794214196319164,1313,P2,all
63,0.026344329483532766,0.2507599860826478,1312,P2,all
66,0.030460905423534787,0.3811423859462125,1312,P2,all
69,0.03289157148487101,0.48919501189860504,1312,P2,all
72,0.039377589252008585,0.5538069708709243,1312,P2,all
75,0.04819736917462663,1.3080158703147353,1312,P2,all
78,0.019165301382994222,0.1545870161686487,1312,P2,all
81,0.017408838063030493,0.0996390146282758,1312,P2,all
84,0.032669218571515765,0.32385042316373736,1312,P2,all
87,0.03876276848205968,0.33034812892065646,1312,P2,all
90,0.03703564859263844,0.6967692607383636,1312,P2,all
93,0.024903259588217232,0.29852679578692587,1312,P2,all
96,0.018389545368346492,0.21858604480790084,1312,P2,all
99,0.012431448580921586,0.08202608729430849,1311,P2,all
102,0.012601108374494737,0.07548662214972376,1311,P2,all
105,0.015813074613659214,0.170890123892096,1310,P2,all
108,0.005765913350838153,0.028478662864248883,1310,P2,all
111,0.004090106866575024,0.007396403528795174,1310,P2,all
114,0.011440212377444187,0.05582566539566206,1310,P2,all
117,0.035444835371538586,0.6292252538767553,1310,P2,all
120,0.02481491438484416,0.3985629342870458,1310,P2,all
123,0.04085417521895757,1.4776180919709023,1310,P2,all
126,0.04298467074098301,1.840562848179279,1310,P2,all
129,0.04422828581304063,2.1277956103300513,1310,P2,all
132,0.06395030476639224,4.481926414008738,1310,P2,all
