l,m,v,n,t,b
0,0.0017418000462515717,8.07203901695669e-06,1359,Ks,all
3,0.12613245791838437,0.3424356431655207,1359,P2,all
6,0.10659163892235153,0.2918801753028768,1359,P2,all
9,0.08581926452660575,0.16577008285220587,1359,P2,all
12,0.08418691318373865,0.21941708213852124,1359,P2,all
15,0.07732765321394076,0.14675038473081983,1359,P2,all
18,0.07307667267831384,0.1953098345562147,1359,P2,all
21,0.07107956674207659,0.14807140743308722,1359,P2,all
24,0.07780029588404469,0.2265303332306569,1359,P2,all
27,0.07233457484408518,0.20963657638690064,1359,P2,all
30,0.08239396081912287,0.26127308930447135,1359,P2,all
33,0.06454258321796899,0.10544290048793531,1359,P2,all
36,0.07116789762645914,0.19543952840198428,1359,P2,all
39,0.06427377062926157,0.14178881012073533,1359,P2,all
42,0.05755085073095161,0.13499099728604996,1359,P2,all
45,0.049060966490797234,0.09236151036144369,1359,P2,all
48,0.045741025319716175,0.0719713403221519,1359,P2,all
51,0.051191052136271634,0.14405662503959915,1359,P2,all
54,0.044458608959253375,0.07854687628600834,1359,P2,all
57,0.038633469223422354,0.04475262970170614,1359,P2,all
60,0.032894127475989854,0.026206332613918474,1359,P2,all
63,0.0331018196575548,0.060840270104341565,1359,P2,all
66,0.028287234852643683,0.03213408654588518,1358,P2,all
69,0.024195652910191802,0.025996332343067804,1359,P2,all
72,0.018697563660895512,0.021806441814756928,1358,P2,all
75,0.016398931325761743,0.019452125185200255,1358,P2,all
78,0.015754598786656998,0.019585074564448007,1358,P2,all
81,0.018305155203339085,0.10160302198789402,1356,P2,all
84,0.01827371829054638,0.1610565564960527,1356,P2,all
87,0.011369860991435356,0.06519212640693998,1356,P2,all
90,0.004969767992380223,0.009546041755493487,1355,P2,all
93,0.0023523108283801716,0.0038697828896331,1355,P2,all
96,0.0034014367938995337,0.007144315026717514,1353,P2,all
99,0.0024726887383159026,0.0031520532951523953,1340,P2,all
102,0.0033052006251673045,0.007364967611129094,1341,P2,all
105,0.0050234828833998135,0.009121619658926751,1341,P2,all
108,0.004948067366167116,0.005354906363731025,1341,P2,all
111,0.0045336851793044705,0.008823475329953884,1341,P2,all
114,0.006536460259625847,0.012600880946102469,1340,P2,all
117,0.005705370022252572,0.011369267579681215,1340,P2,all
120,0.004824629781060474,0.004567928566537825,1340,P2,all
123,0.006135812036067563,0.012230434248943947,1340,P2,all
126,0.008715734406290566,0.011494675990221722,1340,P2,all
129,0.007906084299714962,0.011785831194019701,1340,P2,all
132,0.008793471583110932,0.020014291987833728,1340,P2,all
135,0.0096518248516917,0.006603044765477692,1340,P2,all
138,0.011679542896111509,0.013617394774995052,1340,P2,all
141,0.011252685655006272,0.009549820808115995,1341,P2,all
144,0.009259501053688498,0.0058858865938556815,1341,P2,all
147,0.012998377576909968,0.011188967278510984,1341,P2,all
150,0.013730208033517228,0.014226257130899827,1341,P2,all
153,0.01715734798785025,0.017186989003748522,1341,P2,all
156,0.01650807849293897,0.022614082830053103,1341,P2,all
159,0.014568506068348405,0.01351913730762123,1341,P2,all
162,0.015040307090257474,0.01018368721099291,1340,P2,all
165,0.016323253620552612,0.011807777620965779,1339,P2,all
168,0.014968932772341185,0.0124744254484928,1339,P2,all
171,0.013859082735837166,0.00833015426509585,1337,P2,all
174,0.018224107138752374,0.010328536075053435,1337,P2,all
177,0.019374410181599164,0.013275847988227608,1337,P2,all
180,0.02363725794329881,0.02642315522996607,1337,P2,all
183,0.024385215354088677,0.023390036467831922,1337,P2,all
186,0.022785503911720694,0.017823260647551433,1337,P2,all
189,0.021266094984863995,0.014905446422694547,1338,P2,all
192,0.025687767768028853,0.022373441425078914,1338,P2,all
195,0.025385154833826144,0.030318184143194482,1338,P2,all
198,0.02244855221105993,0.011133449386855043,1338,P2,all
201,0.020490054761323945,0.008840601707701031,1337,P2,all
204,0.025298938290270256,0.020584554418900315,1337,P2,all
207,0.0214394277643791,0.010972575184564789,1337,P2,all
210,0.022782680569389247,0.01642849404821003,1336,P2,all
213,0.02251912887433581,0.015368884892694688,1335,P2,all
216,0.023487461043625354,0.01859573637230898,1335,P2,all
219,0.022457285711386166,0.013614699867953961,1334,P2,all
222,0.02601249557959501,0.014221215618898352,1333,P2,all
225,0.019581309343292216,0.010710306960435964,1330,P2,all
228,0.02300361363416177,0.01695813307235443,1328,P2,all
231,0.022020191195938614,0.014782420705649243,1327,P2,all
234,0.023354754325822073,0.018539570181514038,1327,P2,all
237,0.019910623845294368,0.010513862626137384,1325,P2,all
240,0.018212959949096722,0.008105628600002229,1324,P2,all
243,0.019098221227245485,0.010648654682751417,1324,P2,all
246,0.019650535681462585,0.011798150327865187,1324,P2,all
249,0.019479657012461224,0.014268301696574467,1323,P2,all
252,0.018436179373851946,0.011299443289466856,1323,P2,all
255,0.01736732205103618,0.017092768645753757,1321,P2,all
258,0.013793920403194103,0.014826893950189199,1320,P2,all
261,0.01570468854735369,0.01622068619358299,1320,P2,all
264,0.011547468593970728,0.005457273867045391,1319,P2,all
267,0.009974115162318064,0.0038309067218156084,1318,P2,all
270,0.013712975277105603,0.014767352338228533,1316,P2,all
273,0.010056574546635716,0.006909076483103628,1313,P2,all
276,0.007135302523543717,0.0028487384313718995,1309,P2,all
279,0.010961579825727957,0.016570282257719973,1307,P2,all
282,0.009663168472636373,0.008989808670967875,1306,P2,all
285,0.008024660272545016,0.004294805208512752,1304,P2,all
288,0.005748595169943575,0.0023540703123576374,1302,P2,all
291,0.004443996068417074,0.0017041661634719174,1300,P2,all
294,0.008122821455885033,0.009567800134797683,1299,P2,all
297,0.010098643687017224,0.010682530822686262,1298,P2,all
0,0.1043280400903005,0.28966336541561305,1359,P4,all
3,0.02228656657696515,0.07492170118626636,1359,P4,all
6,0.02166049671225644,0.07754290326073114,1359,P4,all
9,0.01679915237743633,0.0584754784125157,1359,P4,all
12,0.016822676875495803,0.06216062844066435,1359,P4,all
15,0.015387982676371823,0.05276486510433354,1359,P4,all
18,0.013815532741594416,0.054593906375655865,1359,P4,all
21,0.014256605980049365,0.0516969489640113,1359,P4,all
24,0.014639161936114562,0.057770436390344654,1359,P4,all
27,0.014409935490694742,0.04868051567097042,1359,P4,all
30,0.01503987877443371,0.04909531769758685,1359,P4,all
33,0.012458895410868732,0.037907781797341965,1359,P4,all
36,0.014270284913356033,0.04655183685015068,1359,P4,all
39,0.01257361702787009,0.03309777578894666,1359,P4,all
42,0.011654871111625996,0.031965766348762616,1359,P4,all
45,0.010310075580027228,0.023335806145390575,1359,P4,all
48,0.010663449598435982,0.02422502635515154,1359,P4,all
51,0.011183390039774697,0.019324318599990745,1359,P4,all
54,0.010336912856717213,0.018107217619416215,1359,P4,all
57,0.00962362732615806,0.01516715421763239,1359,P4,all
60,0.008284366463851682,0.012933306655075097,1359,P4,all
63,0.010048021757199287,0.013433743235762328,1359,P4,all
66,0.007398975956504285,0.0076564980047438246,1359,P4,all
69,0.0080617807631207,0.007778416540295988,1359,P4,all
72,0.006393681174232992,0.006372212355998827,1359,P4,all
75,0.007840159925770546,0.006284020494137403,1359,P4,all
78,0.007393250130573878,0.0059774607976799815,1359,P4,all
81,0.007095949565230897,0.00531610458935598,1359,P4,all
84,0.007287049510158693,0.006148792100373607,1359,P4,all
87,0.006363365127948944,0.0038277453245833017,1359,P4,all
90,0.005320642599754691,0.002509067363262658,1359,P4,all
93,0.00519316918259167,0.0020646648755060226,1359,P4,all
96,0.004799505855306904,0.0017734862733168057,1358,P4,all
99,0.00536722961358304,0.0023417932001801936,1358,P4,all
102,0.004866823353743419,0.0016521331526389248,1357,P4,all
105,0.00539188372865498,0.001996805628747776,1357,P4,all
108,0.004973322983501118,0.001953366940523352,1357,P4,all
111,0.005171283860762673,0.0017320515027458854,1357,P4,all
114,0.005852974403116098,0.0030029719862481137,1356,P4,all
117,0.004971152564821873,0.0024493077197700955,1356,P4,all
120,0.00631106300521681,0.0038583803158305082,1356,P4,all
123,0.004437915563440327,0.0019424774211816939,1355,P4,all
126,0.004417386647244673,0.001877249092669928,1354,P4,all
129,0.004567504049534597,0.0017526543395338411,1354,P4,all
132,0.004269714818053039,0.0014894168896831606,1354,P4,all
135,0.004023616214487291,0.001256645504705161,1354,P4,all
138,0.005710197679442627,0.002644816411933974,1353,P4,all
141,0.004307826500179162,0.0016289297983059603,1354,P4,all
144,0.003951081282056211,0.00132183840440913,1354,P4,all
147,0.0037200077185303606,0.000869020939370094,1354,P4,all
150,0.004050079759423417,0.0013324495919029237,1353,P4,all
153,0.004900001490049801,0.0021179513762781,1353,P4,all
156,0.004393938683673336,0.0015663555543757532,1353,P4,all
159,0.003262085847390393,0.0005294399702196529,1353,P4,all
162,0.004883173755259936,0.0025350434562441113,1353,P4,all
165,0.004770899042166799,0.001979636657690098,1353,P4,all
168,0.005076250981667735,0.002443918144884077,1352,P4,all
171,0.004266017677027212,0.0009601420180975462,1351,P4,all
174,0.005644676098500357,0.0024305887873221394,1349,P4,all
177,0.004619103981146246,0.001030638416927074,1349,P4,all
180,0.005851409907468467,0.0030722814745787514,1349,P4,all
183,0.004896476866021199,0.0016918434971507827,1349,P4,all
186,0.004258515494731758,0.0008474377668439981,1349,P4,all
189,0.005713487475430375,0.003513174931405967,1348,P4,all
192,0.004616393656331414,0.0013208669333834246,1348,P4,all
195,0.0056200246053688795,0.0038077065778501906,1348,P4,all
198,0.005246813004768114,0.0028001699250986586,1348,P4,all
201,0.003828979187028246,0.001000669215184421,1347,P4,all
204,0.004727448786834977,0.0014137981406608937,1347,P4,all
207,0.004357439151767291,0.0012548734102846523,1346,P4,all
210,0.0055256310650775315,0.00345457130377712,1344,P4,all
213,0.00444879413439965,0.001082945392723995,1343,P4,all
216,0.004930869859278608,0.0016031196068318355,1342,P4,all
219,0.004106045590314041,0.0009110762318966652,1341,P4,all
222,0.004088335346382984,0.0008442355744449617,1341,P4,all
225,0.00525921865247485,0.0031119741276896683,1341,P4,all
228,0.003354642326149431,0.0006450387345925694,1339,P4,all
231,0.003601228394997825,0.0006354087008026828,1336,P4,all
234,0.003653694101975558,0.0007121476057398696,1334,P4,all
237,0.003817181943507492,0.0011094712215348273,1332,P4,all
240,0.00369748107789211,0.0006789645534164922,1332,P4,all
243,0.0038851632065968157,0.0008134504807319875,1330,P4,all
246,0.003953313825911865,0.0009243552842006558,1330,P4,all
249,0.005327253321296827,0.003098891197039741,1329,P4,all
252,0.004230396435106849,0.0012501116269562028,1329,P4,all
255,0.00407929591752511,0.001178776560077612,1328,P4,all
258,0.0038922542489370797,0.0007209125784124014,1328,P4,all
261,0.005027953802036178,0.002529581068562061,1327,P4,all
264,0.003371898738176189,0.0005997588587411265,1326,P4,all
267,0.003934314348234755,0.0007887748854684317,1326,P4,all
270,0.00426598429843596,0.0013776089692647637,1324,P4,all
273,0.0044066553900020565,0.001273585857929834,1321,P4,all
276,0.004434890458094579,0.003726649014926694,1321,P4,all
279,0.0033985055385327674,0.00048372508099640046,1319,P4,all
282,0.005272647478117041,0.0039932900678332365,1318,P4,all
285,0.003178067879549028,0.0004935228843354572,1317,P4,all
288,0.0038236305892756215,0.00117189115389376,1314,P4,all
291,0.0032093700068765397,0.0005795794228096734,1312,P4,all
294,0.0051145830522369455,0.003043281392811335,1311,P4,all
297,0.004415784907194728,0.001433097759017556,1311,P4,all
