l,m,v,n,t,b
0,0.0001915933134284695,3.2174503279467372e-06,1313,Ks,all
3,0.13357794671057316,6.245138312624106,1313,P2,all
6,0.13556232389767658,5.224504839207837,1313,P2,all
9,0.12976384834144078,4.105445179888739,1313,P2,all
12,0.07467178164879822,2.1117437757602766,1313,P2,all
15,0.09842368735673243,3.354797450261227,1313,P2,all
18,0.08962621808649679,1.9264866096796966,1313,P2,all
21,0.11051800073708018,3.9443324257682133,1313,P2,all
24,0.10229950986678125,3.851590101573223,1313,P2,all
27,0.1383374875535629,4.2413904180651825,1313,P2,all
30,0.06838421654241297,1.8713940869259678,1313,P2,all
33,0.08116822748337942,1.5610584079274084,1313,P2,all
36,0.08161772644952799,2.0880038942751806,1313,P2,all
39,0.05508225134592454,1.6101464884020569,1313,P2,all
42,0.0833985491436263,3.655449226248618,1313,P2,all
45,0.10122365164170297,4.384049264614803,1313,P2,all
48,0.10717239184013345,7.096798452707013,1313,P2,all
51,0.09658665110540994,3.8383983476654095,1313,P2,all
54,0.06895684952056133,2.9066722014939477,1313,P2,all
57,0.0869915928610005,4.085890351514238,1313,P2,all
60,0.10174948859902261,6.250993787371826,1313,P2,all
63,0.1141728171191668,4.645084598696486,1313,P2,all
66,0.061818162566749775,1.7193618242344904,1313,P2,all
69,0.07267952992631022,2.141252894749495,1313,P2,all
72,0.055393993897872154,1.0791362060535301,1313,P2,all
75,0.06604286417999207,4.6100983719094275,1313,P2,all
78,0.06512655824874639,1.38726015953852,1313,P2,all
81,0.050254540133339895,1.5145174328311348,1313,P2,all
84,0.0815565075066902,3.9201362369693418,1313,P2,all
87,0.0906033594337302,4.145031155915217,1313,P2,all
90,0.09213181820158506,3.2251478241954428,1313,P2,all
93,0.06548618752222325,2.2391815612177424,1313,P2,all
96,0.07205533545852381,3.0633495764738563,1313,P2,all
99,0.08271807182231147,3.3937154755158616,1313,P2,all
102,0.06799277278868421,3.114538288868498,1313,P2,all
105,0.0913003028488166,8.58132415174119,1313,P2,all
108,0.0960934673334368,7.6103772957093865,1313,P2,all
111,0.07465662919909535,4.288919694025162,1313,P2,all
114,0.0494351315680853,1.7693294139916438,1313,P2,all
117,0.0752056379862996,3.147956743059813,1313,P2,all
120,0.03806895329792326,0.8860737182960059,1313,P2,all
123,0.0776724725678648,4.1739929594627805,1313,P2,all
126,0.05840676032735789,1.4614929310039195,1313,P2,all
129,0.09327648070158176,4.08974791140814,1313,P2,all
132,0.0653510734035173,3.6576910105305047,1312,P2,all
135,0.08906243390718069,6.984392262293721,1312,P2,all
138,0.07587322783343388,5.257784489233094,1312,P2,all
141,0.04535574025928487,1.1392559546982775,1312,P2,all
144,0.06497567150977426,3.100757949185868,1312,P2,all
147,0.061278471988124535,2.5659651377024635,1312,P2,all
150,0.0673102665850617,4.117476325284144,1312,P2,all
153,0.07695004612336562,6.557871081164252,1312,P2,all
156,0.06464498934390488,2.822427271256946,1311,P2,all
159,0.10192333887174555,10.658926828692106,1312,P2,all
162,0.09803949112116571,7.178953237550416,1312,P2,all
165,0.06947025142886366,5.8721318727295335,1312,P2,all
168,0.0692142849001355,6.28049919408485,1312,P2,all
171,0.06741986496589006,5.486376026447278,1311,P2,all
174,0.05844704705164649,4.428163865436998,1311,P2,all
177,0.07598831716936262,6.957890587491735,1311,P2,all
180,0.07318704332922814,4.866420142055402,1310,P2,all
183,0.10480135577303991,14.12060961034475,1308,P2,all
186,0.057743512880108004,4.198909496398584,1307,P2,all
189,0.06886097771154613,2.090718797613461,1307,P2,all
192,0.06708136741975067,4.340125832788022,1306,P2,all
195,0.05309264365008716,3.420100965541857,1306,P2,all
198,0.07538936608814639,4.31951519509968,1306,P2,all
201,0.04413598571099435,1.4683360090236381,1306,P2,all
204,0.08862704256874884,8.282850495025041,1304,P2,all
207,0.04804837033830373,1.956032055134957,1302,P2,all
210,0.0974376235499796,11.570453243729512,1301,P2,all
213,0.07721389991462828,5.661894514246973,1299,P2,all
216,0.09016886102363517,4.163156642016963,1300,P2,all
219,0.02764328568379777,0.8199683306305428,1299,P2,all
222,0.06049113397823594,3.9242735181444877,1299,P2,all
225,0.11812092088304887,11.647270637727667,1297,P2,all
228,0.06036612506405981,4.363541334605956,1294,P2,all
231,0.0645486115627826,5.174892389102539,1292,P2,all
234,0.04737902327792608,1.7472481034343972,1284,P2,all
237,0.043322874404166385,1.896435625478338,1275,P2,all
240,0.05500141652754904,2.0208929566094325,1259,P2,all
243,0.04196984674090615,1.332609948803579,1240,P2,all
246,0.061774160418520734,4.581265405384298,1227,P2,all
249,0.01590335957621329,0.12004772432887895,1219,P2,all
