l,m,v,n,t,b
0,0.0008820837763651595,1.7669058500633587e-05,1333,Ks,all
3,0.14027175967211397,1.1219974049444357,1333,P2,all
6,0.10081639093641596,0.6951050871299909,1333,P2,all
9,0.10735314727735666,0.6852515336632202,1333,P2,all
12,0.08800121280765415,0.4556912480303632,1333,P2,all
15,0.1032933379915772,0.854998912208949,1333,P2,all
18,0.08745727645671278,0.5112449825277487,1333,P2,all
21,0.08483591950708787,0.4889493284078741,1333,P2,all
24,0.11342579149152426,1.1044916941241871,1333,P2,all
27,0.09145017031662214,0.5954433533297051,1333,P2,all
30,0.07857169464529899,0.33166936778864714,1333,P2,all
33,0.10035927657361807,0.7710208745175982,1333,P2,all
36,0.07355902385785476,0.44871196887795023,1333,P2,all
39,0.07261187967488253,0.5422516186068478,1333,P2,all
42,0.08039826335523996,0.5159929470987262,1333,P2,all
45,0.08523970045868866,0.4586195928705465,1333,P2,all
48,0.0736768317813221,0.6257207096364997,1333,P2,all
51,0.0798631430702653,0.5092803705432417,1333,P2,all
54,0.06782959129085822,0.33956456581993394,1333,P2,all
57,0.06312030429592864,0.466287349998709,1333,P2,all
60,0.09361675126826198,0.665650873087965,1333,P2,all
63,0.07124372563028124,0.6611238902090121,1333,P2,all
66,0.0644515088100054,0.6629060195548407,1333,P2,all
69,0.06916753930064785,0.49067956052211137,1333,P2,all
72,0.08391522133306709,0.8686775592299139,1333,P2,all
75,0.08265581776224579,0.4878850650007569,1333,P2,all
78,0.07206268371594737,0.4067538065469952,1333,P2,all
81,0.06420268045836867,0.5302254632260047,1333,P2,all
84,0.06010257983614492,0.4230264735579435,1333,P2,all
87,0.058823918726277215,0.32167415484240147,1333,P2,all
90,0.06992000856570679,0.4743913051691866,1333,P2,all
93,0.0562362290726005,0.21139333792891443,1332,P2,all
96,0.06556145235481835,0.37509754651989047,1332,P2,all
99,0.06408347282221885,0.377854213957555,1332,P2,all
102,0.05416299217315035,0.2210277089842795,1332,P2,all
105,0.06879583802146079,0.3668240639402901,1332,P2,all
108,0.06569241709413293,0.2815994574261956,1332,P2,all
111,0.061253008308256265,0.23035319712887597,1332,P2,all
114,0.05076166605430469,0.213080407929063,1332,P2,all
