l,m,v,n,t,b
0,0.0026147765696505256,4.403724779036503e-05,1321,Ks,all
3,0.12729750312324167,0.22858442053859232,1321,P2,all
6,0.10249099586853115,0.2526216037354355,1321,P2,all
9,0.09283513126247309,0.1361584559074579,1321,P2,all
12,0.08904695164768775,0.14859944584219875,1321,P2,all
15,0.07572865547465568,0.09117616824414203,1321,P2,all
18,0.086111427045421,0.16296385084373347,1321,P2,all
21,0.0758780165500272,0.08719280702716291,1321,P2,all
24,0.08613597478221753,0.2439246130062962,1321,P2,all
27,0.08524655964069044,0.15050568790424276,1321,P2,all
30,0.08994521689768542,0.23964224874039722,1321,P2,all
33,0.08615302437080717,0.18871965939840324,1321,P2,all
36,0.078552107521251,0.16760387901298102,1321,P2,all
39,0.07759478161067929,0.17704367029281304,1321,P2,all
42,0.07960621283982855,0.13492349251953634,1321,P2,all
45,0.0692472142908916,0.0839756080426036,1321,P2,all
48,0.0711266815194311,0.11390558621057267,1321,P2,all
51,0.07631915275635938,0.1170738846516647,1321,P2,all
54,0.0728031962119348,0.08790761122479153,1321,P2,all
57,0.0739734515850766,0.1345272769496947,1321,P2,all
60,0.0726778470822027,0.09454911203642108,1321,P2,all
63,0.0780028637981561,0.1292639546354967,1321,P2,all
66,0.07225898957689773,0.11018263563828543,1321,P2,all
69,0.07191398254790243,0.11583686837885902,1321,P2,all
72,0.07048763044762119,0.09130833232810681,1321,P2,all
75,0.07366086026855223,0.13305893279302658,1321,P2,all
78,0.06514602617405985,0.08486260868410138,1321,P2,all
81,0.06027407537518341,0.05994960268440226,1321,P2,all
84,0.05998507282680346,0.07032601224317499,1321,P2,all
87,0.07216209971552298,0.10221910275491722,1321,P2,all
90,0.05650954006298557,0.05030660239459633,1320,P2,all
93,0.06387499924861631,0.06941614664080681,1320,P2,all
96,0.06619872578414766,0.09987069315327902,1319,P2,all
99,0.06590431194949795,0.07290050797967434,1319,P2,all
102,0.06108898749729753,0.054134414901113606,1319,P2,all
105,0.06885657459859218,0.08249395785163414,1319,P2,all
108,0.06278954860415877,0.06718242987317481,1319,P2,all
111,0.06854136269347402,0.09829343620000858,1319,P2,all
114,0.05679140413021875,0.056966371307515,1319,P2,all
117,0.06167972862509733,0.06907397363151895,1319,P2,all
120,0.05566403929615267,0.061155102264702874,1318,P2,all
123,0.0659413454507254,0.08808240966579377,1318,P2,all
126,0.06615546802575895,0.09578757680717737,1318,P2,all
129,0.06693811658483782,0.11916047822548331,1317,P2,all
132,0.05888026493493542,0.14299209050891032,1318,P2,all
135,0.05930094332431833,0.05775519913567671,1317,P2,all
138,0.05061892689576779,0.051642864819316396,1317,P2,all
141,0.0629212158559376,0.08922597698639453,1317,P2,all
144,0.05227967781597647,0.06421176634311672,1316,P2,all
147,0.056441133546834395,0.06100004516832132,1317,P2,all
150,0.05077912003767816,0.06230884557962195,1317,P2,all
153,0.054516141471410644,0.058719529176229454,1315,P2,all
156,0.05330624660310837,0.0692737503985884,1314,P2,all
159,0.06369050153582326,0.1084207653396974,1315,P2,all
162,0.047936891414399156,0.0674431976310255,1315,P2,all
165,0.053342537360333946,0.06954795799975179,1314,P2,all
168,0.05776111083177758,0.17501275313258827,1314,P2,all
171,0.05413130907357521,0.08260988971670594,1314,P2,all
174,0.05049027177377008,0.06643657136037717,1314,P2,all
177,0.05259090319422084,0.09982798799561968,1315,P2,all
180,0.049919115077665534,0.0537773608052173,1314,P2,all
183,0.056231168900979595,0.08991803338263009,1312,P2,all
186,0.04410570512508689,0.04906079199471799,1312,P2,all
189,0.05035430585451546,0.06707510523560184,1312,P2,all
192,0.059256704201339334,0.21461393599826856,1311,P2,all
195,0.059890721725341434,0.23865950447370715,1309,P2,all
198,0.05554534392946438,0.18078586247164036,1308,P2,all
201,0.05199161976829391,0.08060816150906254,1307,P2,all
204,0.04706937678945221,0.05493131710907989,1308,P2,all
207,0.041527617779084515,0.05517651486990098,1306,P2,all
210,0.04524211948069587,0.055567549175863575,1305,P2,all
213,0.046673560679282744,0.0690784025703948,1305,P2,all
216,0.04232441369444805,0.04839000585230493,1304,P2,all
219,0.05598757074051095,0.10390881881876034,1303,P2,all
222,0.05262579366074919,0.07946268260814894,1303,P2,all
225,0.04346920427905357,0.057536458789784035,1301,P2,all
228,0.038288565614555625,0.0356264769667215,1300,P2,all
231,0.04952207422168025,0.12523005244657037,1299,P2,all
234,0.05004937318038154,0.07409448063151707,1297,P2,all
237,0.042278292143781614,0.07090503889871808,1296,P2,all
240,0.03666298824980135,0.05187626745175858,1289,P2,all
243,0.03717691498737996,0.04799973749655568,1276,P2,all
246,0.04235368872030911,0.07337740358018506,1254,P2,all
249,0.047641191791124464,0.07034993822884271,1246,P2,all
252,0.05324156230486722,0.1052098203248232,1247,P2,all
255,0.05750753369921165,0.1744757653269881,1245,P2,all
258,0.044161669350814774,0.06410040319482169,1243,P2,all
261,0.044608468401698916,0.0660172476006181,1242,P2,all
264,0.06924957068096424,0.2659032099343544,1244,P2,all
267,0.047986164011281106,0.08379705401643756,1242,P2,all
270,0.041321002923797125,0.060497596845349534,1242,P2,all
273,0.052436472826515645,0.07783814040120883,1240,P2,all
276,0.04413757101438421,0.05874067292523137,1239,P2,all
279,0.034487709699174855,0.0427695839483875,1240,P2,all
282,0.05422968027557567,0.0790628964217851,1240,P2,all
285,0.042697989459537615,0.045871507410223576,1239,P2,all
288,0.05010109553967728,0.07579975680593633,1239,P2,all
291,0.04696588202009869,0.06382164790431961,1239,P2,all
294,0.03665852435719368,0.0416873482904599,1239,P2,all
297,0.045354853309587405,0.08004467977702641,1238,P2,all
0,0.2337174463159136,0.6572925788328903,1321,P4,all
3,0.030332370038724594,0.016234774591988,1321,P4,all
6,0.022997763794160492,0.010273287134797509,1321,P4,all
9,0.02329894488590606,0.010358604597969803,1321,P4,all
12,0.022238383535267178,0.009544382933435364,1321,P4,all
15,0.02072858229131519,0.009404698969380693,1321,P4,all
18,0.020103871736564114,0.010333033837675013,1321,P4,all
21,0.01933974373422029,0.008010415516910212,1321,P4,all
24,0.021109135437968073,0.010268786068211829,1321,P4,all
27,0.019247180460019036,0.008640295539299517,1321,P4,all
30,0.021026218475548943,0.011930167520218509,1321,P4,all
33,0.01872131557021747,0.0070078759427013556,1321,P4,all
36,0.018503294217010458,0.008545689189327051,1321,P4,all
39,0.01867190020793165,0.00912296212412877,1321,P4,all
42,0.020404659724648947,0.010817462189194185,1321,P4,all
45,0.018088665425043653,0.008200372206748435,1321,P4,all
48,0.017489622630635072,0.007811510241826928,1321,P4,all
51,0.01844085388606376,0.008536717209235949,1321,P4,all
54,0.01955594607186826,0.009639540493564183,1321,P4,all
57,0.018119878611063137,0.008020602247629339,1321,P4,all
60,0.018489274035871944,0.008722481883056568,1321,P4,all
63,0.01933125342881839,0.008836289457715115,1321,P4,all
66,0.019165307588772343,0.01016868930095554,1321,P4,all
69,0.018233781455590136,0.008192395826742888,1321,P4,all
72,0.018534761498870685,0.00987398534078255,1321,P4,all
75,0.018645581878597176,0.007819809578149154,1321,P4,all
78,0.016949127582828443,0.008828387714190635,1321,P4,all
81,0.015563903340955776,0.005672257324393048,1321,P4,all
84,0.017122303519638025,0.00873265415432605,1321,P4,all
87,0.018560473004096075,0.00909161696337966,1321,P4,all
90,0.016284688717855413,0.006421101475557349,1321,P4,all
93,0.01656515401055929,0.007209787188540945,1321,P4,all
96,0.01787423089248355,0.0085000874937944,1319,P4,all
99,0.016425801531442786,0.00547756216191195,1319,P4,all
102,0.016504503770601583,0.005868116834295034,1319,P4,all
105,0.017896611403240847,0.008286530151217417,1319,P4,all
108,0.01738364940401164,0.006813819245774117,1319,P4,all
111,0.018444177052014187,0.009345624300537656,1319,P4,all
114,0.016727217187952503,0.007677890102284727,1319,P4,all
117,0.01633690282840435,0.0070533839588493704,1319,P4,all
120,0.014884256402271317,0.00492309349844195,1319,P4,all
123,0.019221191456249054,0.00979870178067679,1318,P4,all
126,0.017747659290530116,0.008945447734361707,1318,P4,all
129,0.01750817965897567,0.008752461499707962,1318,P4,all
132,0.015140166219599658,0.0064752609895432165,1318,P4,all
135,0.016653445996662557,0.0065285023970166126,1318,P4,all
138,0.013738977762635574,0.005271837451601673,1318,P4,all
141,0.01868896123104759,0.010716317457225788,1318,P4,all
144,0.014969084415610776,0.006402776570649721,1318,P4,all
147,0.01601784652044738,0.006183334885453679,1318,P4,all
150,0.015518346743693802,0.007556593152679096,1317,P4,all
153,0.015311476545213268,0.0066535050565099015,1317,P4,all
156,0.0160209110844041,0.008032314303387713,1317,P4,all
159,0.016880163377477508,0.008841246183161943,1316,P4,all
162,0.013757278173812174,0.0056504329172333756,1316,P4,all
165,0.015997025539515278,0.008041686477997053,1316,P4,all
168,0.01593035438271083,0.008574374600952863,1315,P4,all
171,0.01645386868312599,0.008605061208486075,1315,P4,all
174,0.014141031129327172,0.005599289834907831,1315,P4,all
177,0.014700185108456635,0.006748942392650577,1315,P4,all
180,0.014292854363199294,0.005785181499320944,1315,P4,all
183,0.01628432567297459,0.008587440786605097,1314,P4,all
186,0.012781115979988017,0.0044917110386380014,1314,P4,all
189,0.014508181679238523,0.006392618335188679,1314,P4,all
192,0.0151453960414111,0.0087512130681491,1312,P4,all
195,0.016123198768488348,0.009776203157776591,1311,P4,all
198,0.015277090445452593,0.006188045634803041,1311,P4,all
201,0.01554638236364796,0.007626878728913672,1310,P4,all
204,0.01690748732190902,0.007688100585028082,1310,P4,all
207,0.014711388081458169,0.006573392089291448,1310,P4,all
210,0.014836747180530253,0.007411090808307704,1310,P4,all
213,0.01594966197579242,0.007945470977759899,1309,P4,all
216,0.01432933805286737,0.005404682502139599,1307,P4,all
219,0.018132484669225866,0.01184480370498971,1307,P4,all
222,0.016223538502726717,0.007686152627625278,1306,P4,all
225,0.014972856303506182,0.007110565755017787,1306,P4,all
228,0.014335869412581598,0.005917720610343376,1306,P4,all
231,0.014150868951494045,0.006656993098247462,1305,P4,all
234,0.014046687682595437,0.006158438201763349,1304,P4,all
237,0.01500203221609476,0.007370772648649103,1303,P4,all
240,0.013090591552839426,0.00478242105075591,1303,P4,all
243,0.013252602762635438,0.00575600131316053,1303,P4,all
246,0.014013076491586039,0.0074524964493391,1303,P4,all
249,0.015287322147546375,0.007389743702654325,1303,P4,all
252,0.015611565467229029,0.009039014497983654,1303,P4,all
255,0.015204161295087974,0.008245491874173876,1302,P4,all
258,0.013430645886851,0.0062681042734256094,1301,P4,all
261,0.013465834846743862,0.006389898752830087,1300,P4,all
264,0.01692573477255931,0.010742924461733808,1299,P4,all
267,0.013623087558628814,0.005662623031300293,1299,P4,all
270,0.012953738538379266,0.006698092710933872,1295,P4,all
273,0.013567869467331656,0.007378198253249859,1292,P4,all
276,0.01319890512751939,0.006851705949280577,1292,P4,all
279,0.01197014036611812,0.00517697835645354,1292,P4,all
282,0.014699463486379296,0.005944930645719961,1289,P4,all
285,0.012075948423274488,0.004384043960272911,1287,P4,all
288,0.012137796694454037,0.004096447499769036,1287,P4,all
291,0.014186231247436634,0.006718061675169851,1285,P4,all
294,0.012872684881947701,0.005209008068343092,1285,P4,all
297,0.011058862759829487,0.003481575034943188,1285,P4,all
