l,m,v,n,t,b
0,0.001978140545064152,3.166251284760521e-05,1345,Ks,all
3,0.10680284391611534,0.35662979915347554,1345,P2,all
6,0.08403233979382985,0.21666415755351712,1345,P2,all
9,0.07838634117045525,0.1973612789996871,1345,P2,all
12,0.07819635454826958,0.19463349569519547,1345,P2,all
15,0.07412226022678242,0.18362247002592488,1345,P2,all
18,0.07227467269516179,0.24136365346401914,1345,P2,all
21,0.05991492697356601,0.1549034059452118,1345,P2,all
24,0.06875584162939223,0.1903511852832618,1345,P2,all
27,0.06588474226665732,0.1546444593735642,1345,P2,all
30,0.06457149102880246,0.18050031921760815,1345,P2,all
33,0.06543879758208912,0.19266136298285846,1345,P2,all
36,0.05667840667395453,0.14325866217798777,1345,P2,all
39,0.05948598034247951,0.14683722877349392,1345,P2,all
42,0.059228641056374626,0.15872980894867783,1345,P2,all
45,0.05751898978725178,0.15978192007696684,1345,P2,all
48,0.046698933781683064,0.11482102902633844,1345,P2,all
51,0.045120365483616594,0.11562196761807313,1345,P2,all
54,0.056316034418840484,0.1621229731852384,1345,P2,all
57,0.05496565689001077,0.13601882470921425,1345,P2,all
60,0.04044584530707687,0.07727174876349772,1345,P2,all
63,0.03771830502196478,0.07433396036363975,1345,P2,all
66,0.049408857866449385,0.12554662114012355,1345,P2,all
69,0.029702577344790884,0.05106242916489988,1345,P2,all
72,0.02643744663500581,0.050108137938593214,1345,P2,all
75,0.025213467983338733,0.042784807613051194,1345,P2,all
78,0.027731103532999193,0.06560647311848528,1345,P2,all
81,0.030671350578583216,0.07273200300755753,1345,P2,all
84,0.021370791511364156,0.040973596363864176,1345,P2,all
87,0.026372009646338204,0.061474795104295134,1345,P2,all
90,0.016835088938857077,0.028098726293236616,1345,P2,all
93,0.010913524163897357,0.0340645571932465,1342,P2,all
96,0.008759216622380236,0.011884964840806369,1335,P2,all
99,0.010703554945554281,0.02367228079761277,1302,P2,all
102,0.02868052077608434,0.09613773190053851,1302,P2,all
105,0.018396596553557333,0.05238339801501566,1304,P2,all
108,0.020028983031762575,0.044408667399287595,1307,P2,all
111,0.02605490829318545,0.08863304528765999,1308,P2,all
114,0.022685900590075758,0.06854829131813778,1312,P2,all
117,0.02864201261971292,0.10310734065584577,1311,P2,all
120,0.02100033923660367,0.04439780960059062,1312,P2,all
123,0.024042101954459685,0.09267343859899335,1314,P2,all
126,0.034091678753725145,0.09498074897351609,1314,P2,all
129,0.02484338023630488,0.06256002961609007,1314,P2,all
132,0.04110256012807134,0.2683087015692606,1312,P2,all
135,0.024227193696276447,0.05036676587625508,1314,P2,all
138,0.030392174105939817,0.08058273802136047,1315,P2,all
141,0.029982056854901247,0.0690088846786287,1315,P2,all
144,0.028987975747065256,0.08601863760858024,1315,P2,all
147,0.027229319854393644,0.0899299928059829,1315,P2,all
150,0.030202747011714885,0.09319460083808584,1315,P2,all
153,0.035382906208814784,0.1001741812623022,1315,P2,all
156,0.03315441620243144,0.12003077674433735,1315,P2,all
159,0.03849632566965417,0.12678992487652663,1315,P2,all
162,0.022604464286147822,0.05815582694110152,1315,P2,all
165,0.066716179802997,0.6180554598317813,1315,P2,all
168,0.04978163143600472,0.18867261007979255,1315,P2,all
171,0.03974731073467056,0.1785890408824018,1315,P2,all
174,0.04039831299718535,0.12887915597176275,1315,P2,all
177,0.044943821962570046,0.16381732499013665,1316,P2,all
180,0.03643304161950859,0.11430856008945191,1315,P2,all
183,0.03789980731003591,0.10262216614825011,1315,P2,all
186,0.02435894102472766,0.06817303477282081,1315,P2,all
189,0.03763941440588202,0.1169407172713246,1314,P2,all
192,0.030850968819077732,0.12788331217490925,1314,P2,all
195,0.04157074427843265,0.1669227697256663,1314,P2,all
198,0.05091897984946002,0.28798535427231187,1314,P2,all
201,0.051002685646425995,0.22920198222836288,1314,P2,all
204,0.032832953445124144,0.08383202452270133,1314,P2,all
207,0.037176720670700894,0.08462772703240921,1314,P2,all
210,0.039478131076169036,0.1179240295565762,1314,P2,all
213,0.03265890256404859,0.10598887581015243,1314,P2,all
216,0.03359657366337929,0.09399495009388466,1314,P2,all
219,0.03474427185153311,0.11613831369505064,1314,P2,all
222,0.04476721707281072,0.23969024036214623,1314,P2,all
225,0.041148946833209944,0.1571906518706769,1314,P2,all
228,0.03537379416735336,0.10436862183996255,1312,P2,all
231,0.03854669147257034,0.11672824215306388,1311,P2,all
234,0.040108615426811864,0.09783068311285684,1310,P2,all
237,0.04365236278875844,0.1690084587497027,1310,P2,all
240,0.033060426016678336,0.08151861385406446,1309,P2,all
243,0.024719432088968766,0.03459973526230151,1309,P2,all
