l,m,v,n,t,b
0,0.002807265028334471,5.482074462882955e-06,1359,Ks,all
3,0.12718081469747217,0.03969470488544277,1359,P2,all
6,0.09920002150374191,0.03783373649970218,1359,P2,all
9,0.0953914131073286,0.037283544063346816,1359,P2,all
12,0.09031310709010373,0.028475316854495756,1359,P2,all
15,0.09134692411494579,0.04852224323755894,1359,P2,all
18,0.0847415227767853,0.025312897558051183,1359,P2,all
21,0.07876914589653024,0.01823626553250868,1359,P2,all
24,0.0809556627977418,0.026819207232283412,1359,P2,all
27,0.08076774981230066,0.018339782541725434,1359,P2,all
30,0.08013345642344151,0.025773499116153713,1359,P2,all
33,0.07519328160260036,0.021524275583766225,1359,P2,all
36,0.07696886325766106,0.020793004154956156,1359,P2,all
39,0.0738797986288718,0.021389342047165277,1359,P2,all
42,0.07063383133610486,0.019605164316503748,1359,P2,all
45,0.07072805846598251,0.018055281377339766,1359,P2,all
48,0.06308602440134925,0.011820635589072478,1358,P2,all
51,0.06157759832582537,0.011140353252403463,1358,P2,all
54,0.05640944152764966,0.011816603682333242,1358,P2,all
57,0.054591626343798584,0.011627540792762348,1358,P2,all
60,0.053358118983787804,0.009994734862423669,1357,P2,all
63,0.04702395433177508,0.01187772366054431,1356,P2,all
66,0.038337847290980005,0.0068979347384405055,1356,P2,all
69,0.03720670556675607,0.009887677682945557,1356,P2,all
72,0.03853499280764288,0.009596850055512786,1355,P2,all
75,0.029319728799444188,0.006479230540523794,1354,P2,all
78,0.02286567539245814,0.005804989006128354,1354,P2,all
81,0.017035783909009575,0.004300484844825558,1352,P2,all
84,0.014491387580076101,0.006190287105945734,1351,P2,all
87,0.010629404629352605,0.0034111612792439372,1350,P2,all
90,0.007953098178521655,0.003823122221699699,1348,P2,all
93,0.0039740814589249995,0.0013199483214880261,1347,P2,all
96,0.006407851483007189,0.01437801733321669,1345,P2,all
99,0.001798269999887699,0.0018306761220599052,1335,P2,all
102,0.006023810457569891,0.00845046287739093,1335,P2,all
105,0.011282305780805543,0.020988414880461336,1335,P2,all
108,0.003203745557481951,0.001700335945782176,1335,P2,all
111,0.007284625820393091,0.004029617131710631,1335,P2,all
114,0.01364636836419411,0.030006565142340607,1335,P2,all
117,0.009548382736163827,0.005808937110649006,1335,P2,all
120,0.012066978561659716,0.0069607403615096946,1335,P2,all
123,0.011236473261839703,0.006362143746892281,1335,P2,all
126,0.0174790722826617,0.021297705238039442,1335,P2,all
129,0.014399998645447094,0.010293332554424604,1335,P2,all
132,0.0169010074294183,0.006915402615247045,1336,P2,all
135,0.020423895245110058,0.01198398114505602,1336,P2,all
138,0.024492073802873077,0.02093682222125927,1336,P2,all
141,0.028352492316531717,0.019634791668457583,1336,P2,all
144,0.028880312815602584,0.019841217854200496,1336,P2,all
147,0.036260167653324966,0.03885384906168376,1337,P2,all
150,0.029991739004284704,0.01920976934614575,1337,P2,all
153,0.03242392037607425,0.01235428865665967,1336,P2,all
156,0.026444532911842088,0.0069349256555812705,1338,P2,all
159,0.03726020799962253,0.01705427041505314,1338,P2,all
162,0.03560185495808865,0.017596400256165434,1338,P2,all
165,0.04952932235761511,0.046404820916379014,1338,P2,all
168,0.04312329789711916,0.015334325752121764,1338,P2,all
171,0.044496369691628436,0.015949637303208943,1337,P2,all
174,0.04383406247108622,0.013303605879229723,1339,P2,all
177,0.04614102942310557,0.01347130892021387,1339,P2,all
180,0.04437934050229814,0.010106536318518778,1339,P2,all
183,0.04409191076774582,0.010829678601876332,1338,P2,all
186,0.050389133571014766,0.0166205886584066,1338,P2,all
189,0.04562967563095512,0.010527953477851827,1338,P2,all
192,0.04698248030015889,0.0113158458323621,1336,P2,all
195,0.04934181155190151,0.011815208705116091,1336,P2,all
198,0.049590672741275016,0.014013842986703112,1336,P2,all
201,0.04959902130545291,0.010513847598578515,1336,P2,all
204,0.05238118626319924,0.01709081572808405,1337,P2,all
207,0.04628475915233429,0.008971917986573904,1337,P2,all
210,0.05040522098721775,0.014425653350680516,1337,P2,all
213,0.05118087865163272,0.010703846569855489,1337,P2,all
216,0.05236519031224661,0.012326564727448343,1336,P2,all
219,0.05413777754997172,0.015007477073587,1335,P2,all
222,0.049791028142821665,0.010228319181620753,1333,P2,all
225,0.053180121684822064,0.017457099754861826,1334,P2,all
228,0.04923924666087988,0.012810217236957215,1330,P2,all
231,0.05012867642343948,0.010957249813957962,1329,P2,all
234,0.04853725719070487,0.011919936451280613,1327,P2,all
237,0.0468764424124163,0.012471391587826003,1326,P2,all
240,0.043642103884627956,0.010104083510373429,1324,P2,all
