l,m,v,n,t,b
0,0.0005658191827527467,1.0587595250324507e-05,1321,Ks,all
3,0.1369133966551982,1.5983716607810416,1321,P2,all
6,0.10018248155916226,1.3150486495693088,1321,P2,all
9,0.08771216633551956,0.6475217832508826,1321,P2,all
12,0.10260542353875678,1.1089211151932357,1321,P2,all
15,0.0999572150787835,1.0253185541098302,1321,P2,all
18,0.0766475775025254,0.5709229270477391,1321,P2,all
21,0.08759545708322722,0.8798883206934471,1321,P2,all
24,0.09132199880684906,0.9677772248489854,1321,P2,all
27,0.08251244353948184,0.8138169573140502,1321,P2,all
30,0.11106337978860234,1.2133850300132976,1321,P2,all
33,0.08940522844308556,0.9010456537878802,1321,P2,all
36,0.09436125686710217,1.1512904912108182,1321,P2,all
39,0.08133972527931416,0.7786899310266187,1321,P2,all
42,0.08313763029321679,0.8563028306590035,1321,P2,all
45,0.09126585359682093,1.0105803852610211,1321,P2,all
48,0.07676108483748613,0.7865432946889791,1321,P2,all
51,0.0894786979576739,0.8588565616194301,1321,P2,all
54,0.0822884730240464,0.6817826500865928,1321,P2,all
57,0.07654438002785875,0.7698178087688656,1321,P2,all
60,0.07847043095311466,0.675977904622443,1321,P2,all
63,0.06170959586349433,0.40826028894058447,1321,P2,all
66,0.07205234569868302,0.5459405688323525,1321,P2,all
69,0.08204638915100401,0.7311879856438274,1321,P2,all
72,0.09817397048884917,0.9992326313216406,1321,P2,all
75,0.05896458592533061,0.4255772605355068,1321,P2,all
78,0.07647111325276311,0.7228645676340942,1321,P2,all
81,0.06697799069248418,0.5822698092113285,1321,P2,all
84,0.07305558025503323,0.7404982473072061,1321,P2,all
87,0.07371531766065931,0.6582999532745136,1321,P2,all
90,0.05336805764656287,0.37473874880066105,1321,P2,all
93,0.06133358692460647,0.506774725621135,1321,P2,all
96,0.07208263184323536,0.5500268176480909,1321,P2,all
99,0.0510590073772384,0.4102190918628352,1321,P2,all
102,0.06177857635102733,0.43187701870590434,1321,P2,all
105,0.057843046442027396,0.297642993695912,1321,P2,all
108,0.06507596540713048,0.4083032093393673,1321,P2,all
111,0.06585146018447875,0.4954318827617684,1321,P2,all
114,0.04935072732259997,0.28094365900101276,1321,P2,all
117,0.04906268883483429,0.26124436836462334,1321,P2,all
120,0.04807029276151325,0.2980939601996924,1321,P2,all
123,0.059988072426207475,0.38960865921837706,1321,P2,all
126,0.05190192418051282,0.4995957284182261,1321,P2,all
129,0.03893949813663417,0.15002443863915552,1321,P2,all
132,0.03467831077898362,0.1594684796017972,1321,P2,all
135,0.049505649443252565,0.3763370824425055,1321,P2,all
138,0.05439111300804613,0.4639599109501977,1320,P2,all
141,0.053759166707282265,0.2937660450528029,1320,P2,all
144,0.06801889702886123,0.6531826511627127,1320,P2,all
147,0.05825499792527611,0.3405842123809809,1320,P2,all
150,0.04503679812049691,0.2562174221557772,1319,P2,all
153,0.051525317456426974,0.3616690334328487,1319,P2,all
156,0.04138272770707679,0.1943088615014732,1319,P2,all
159,0.04987701415729276,0.26905481826392513,1319,P2,all
162,0.06783418629505125,0.7401106877815671,1319,P2,all
165,0.038300191655108236,0.2274231397593995,1319,P2,all
168,0.04658870840669147,0.3702596600347973,1319,P2,all
171,0.0302940899750595,0.11784947870447733,1318,P2,all
174,0.05382195825053614,0.36713045990370086,1318,P2,all
177,0.05758961863092611,0.4195639621118055,1318,P2,all
180,0.04948349293749893,0.3176491727073919,1318,P2,all
183,0.04612338470064502,0.2978438874443942,1317,P2,all
186,0.04391344949021359,0.3194450890021277,1317,P2,all
189,0.05124974865835699,0.3029759504849075,1316,P2,all
192,0.032099051624172356,0.12693759132843097,1315,P2,all
195,0.02907793969527282,0.11274868417920356,1315,P2,all
198,0.02952595677665234,0.1096484762768852,1315,P2,all
201,0.03794827711546796,0.17094783790360774,1315,P2,all
204,0.031877465191080284,0.14059534149743844,1315,P2,all
207,0.03636529387224692,0.2009436262065906,1315,P2,all
210,0.049324480969653244,0.35248689604254435,1313,P2,all
213,0.039694444772493113,0.18696585089150483,1313,P2,all
216,0.04453469613166172,0.2297691312860031,1311,P2,all
219,0.04056613400468318,0.19234336955730977,1309,P2,all
222,0.031529832117900614,0.13264662746678055,1307,P2,all
225,0.03254481563933138,0.14337085227778898,1307,P2,all
228,0.04586132962666505,0.2658747282032077,1306,P2,all
231,0.05739368656381077,0.4179513331583206,1304,P2,all
234,0.055070680391185775,0.5139056920083653,1304,P2,all
237,0.04926544585096013,0.40236089307236633,1300,P2,all
240,0.04109115585967029,0.21901342324860223,1298,P2,all
243,0.03606654343972801,0.2077289468440997,1295,P2,all
246,0.03757822371276711,0.27113341591913515,1262,P2,all
249,0.039831512073324346,0.2755323617812248,1234,P2,all
252,0.04884149035746205,0.36220814309254784,1234,P2,all
255,0.061479423020942905,0.5658243437354702,1234,P2,all
258,0.04314666483259503,0.2705701874075809,1234,P2,all
261,0.03759341565473425,0.19829421491429244,1233,P2,all
264,0.05196563765584313,0.33611674475385656,1232,P2,all
267,0.045447989579930154,0.29864963027980534,1232,P2,all
270,0.04403535854085949,0.2852069564343325,1232,P2,all
273,0.042034881325159014,0.283158048399342,1231,P2,all
276,0.03426712034714876,0.1585117358689624,1231,P2,all
279,0.0386909605499768,0.2897379531910147,1231,P2,all
282,0.0352824658596464,0.1629528328666039,1230,P2,all
285,0.08899377371310908,1.1847669863454908,1230,P2,all
288,0.04906666482188671,0.37045487402080834,1230,P2,all
