l,m,v,n,t,b
0,0.0004379682283861664,5.1537989022972105e-06,1332,Ks,all
3,0.061039286869337815,0.6606685252199308,1332,P2,all
6,0.03271958356384782,0.17451272476831636,1332,P2,all
9,0.05001521520506222,1.3966816319761821,1332,P2,all
12,0.026216553666017058,0.1227913987566771,1332,P2,all
15,0.05933020459329166,1.0214708063811246,1332,P2,all
18,0.06710681254553563,1.6103498832340566,1332,P2,all
21,0.048980910799885986,0.7367503281089889,1332,P2,all
24,0.019433076565190048,0.05624605418993801,1332,P2,all
27,0.08180842444773222,2.4558235081521365,1332,P2,all
30,0.031041371815726193,0.20217274961011297,1332,P2,all
33,0.02627927120822394,0.12170715996631155,1332,P2,all
36,0.040892907957053234,0.8894551873510532,1332,P2,all
39,0.025642802090233115,0.16939602704569828,1332,P2,all
42,0.054437480035546826,1.6045071745443222,1332,P2,all
45,0.06733967185289803,2.3641740099264417,1332,P2,all
48,0.06791863554121634,1.8456994192314955,1332,P2,all
51,0.052016485554663365,1.4432373136812424,1332,P2,all
54,0.02450459204388101,0.1235423839848597,1332,P2,all
57,0.015507515378567104,0.05395122323408,1332,P2,all
60,0.01068501868208886,0.017967359715693874,1332,P2,all
63,0.023200854208513463,0.1608375703562662,1332,P2,all
66,0.006298785474264743,0.01007583811448021,1332,P2,all
69,0.014813246496126375,0.03880228142036081,1332,P2,all
72,0.010873099107621615,0.03270774900959993,1332,P2,all
75,0.03046899376435159,0.34468696236909213,1332,P2,all
78,0.006160376493600306,0.012367153950699754,1332,P2,all
81,0.01145332170795224,0.04024204045852308,1332,P2,all
84,0.011970104843977201,0.03382711219751126,1332,P2,all
87,0.006047726117808986,0.01638413446453937,1332,P2,all
90,0.01715941548686676,0.27554526999038975,1332,P2,all
93,0.009852176622977727,0.030823532034154003,1331,P2,all
96,0.008022075682762963,0.027164601755704145,1331,P2,all
99,0.007805071562999331,0.011360152010182176,1331,P2,all
102,0.00663850225713699,0.010896685795960506,1332,P2,all
105,0.008209985076924943,0.030710870294949268,1332,P2,all
108,0.006830694287169158,0.02281785166404284,1331,P2,all
111,0.009357058263486323,0.026249290006403043,1331,P2,all
114,0.010117190336081603,0.03837899692714884,1331,P2,all
117,0.01834062952551495,0.06236003363724452,1331,P2,all
120,0.004573074716373447,0.006070494981797264,1330,P2,all
123,0.004313636003325092,0.010230624325166263,1330,P2,all
126,0.005307423937631499,0.016302578255067812,1330,P2,all
129,0.002138536859541922,0.002609098757671949,1330,P2,all
132,0.007969142565300028,0.0231927437420881,1330,P2,all
135,0.0029302514902249934,0.004066251870815971,1330,P2,all
138,0.0045629690703767704,0.00733858355785291,1330,P2,all
141,0.005015737174968138,0.008050346879262102,1329,P2,all
144,0.003472181117997122,0.005800739859370656,1329,P2,all
147,0.0017824670960579741,0.0042161297346984435,1328,P2,all
150,0.0071152771241316075,0.025010291116250354,1327,P2,all
153,0.005058846440654986,0.010670749472921907,1327,P2,all
156,0.004461253219147944,0.013942292395538297,1328,P2,all
159,0.0031845162789650083,0.010108558632264666,1327,P2,all
162,0,0,1327,P2,all
165,0.007852784152530662,0.03704353778542707,1326,P2,all
168,0.003425126034568984,0.008048772746610054,1326,P2,all
171,0.003727755152135833,0.007973392047834038,1325,P2,all
174,0.00020300678912401588,5.4564365513906124e-05,1325,P2,all
177,0.0018626805784804194,0.002575415221832714,1324,P2,all
180,0.002751344261720347,0.007212851349260607,1325,P2,all
183,0.010189000193523968,0.038395852582062934,1324,P2,all
186,0.0007950364366661612,0.0008368778067699189,1325,P2,all
189,0.00655612524654188,0.037884473580957666,1324,P2,all
192,0.00725242512435932,0.03590380306484661,1323,P2,all
195,0.0135347294168361,0.20526206253257007,1323,P2,all
198,0.01093054972963532,0.09064753004735411,1323,P2,all
201,0.01000823540261096,0.06464561881458937,1323,P2,all
204,0.008536688082788112,0.06158119128425765,1321,P2,all
207,0.005139378112748734,0.01748606485894836,1320,P2,all
210,0.002711035538154493,0.009672223214903788,1317,P2,all
213,0.002846691465599965,0.010055588025863744,1314,P2,all
216,0.0035424666789187023,0.01645183099450787,1312,P2,all
219,0.001467977446941553,0.002825149655779778,1312,P2,all
222,0.0009882125627353915,0.0012753926743073539,1307,P2,all
225,0.020863170175342127,0.537248637237486,1307,P2,all
228,0.030613272189946805,0.7171284536565358,1304,P2,all
231,0.0034806046040728156,0.008326557657108387,1300,P2,all
234,0.04676204341425034,2.671756962582321,1281,P2,all
237,0.0016252060641033514,0.0033227487965042705,1259,P2,all
240,0.003492209062054809,0.014902930490645448,1223,P2,all
243,0.003630039491173536,0.015417308447750933,1171,P2,all
246,0.005954229616482784,0.04006172086815486,1131,P2,all
249,0.01997531606175437,0.2360828040730123,1108,P2,all
