l,m,v,n,t,b
0,0.00041820132227853447,1.0684932716061527e-05,1334,Ks,all
3,0.15752686671719357,3.512176605959882,1334,P2,all
6,0.12171617755404011,2.6670123080449164,1334,P2,all
9,0.13711321011887592,2.931874309907224,1334,P2,all
12,0.1034800097059639,1.5425713072552458,1334,P2,all
15,0.1201677523438674,3.116514949872048,1334,P2,all
18,0.0929071054592146,1.957659917924436,1334,P2,all
21,0.12487453286949264,2.5121667696708316,1334,P2,all
24,0.12735708733515416,4.857236305460766,1334,P2,all
27,0.10819185074459503,2.025552750827598,1334,P2,all
30,0.08427014882160387,0.8778998612044084,1334,P2,all
33,0.14182757748821406,3.227483106565171,1334,P2,all
36,0.12506599431705048,2.418983108375684,1334,P2,all
39,0.12654922235133306,3.2502911446630107,1334,P2,all
42,0.11576893759891077,2.126396555499729,1334,P2,all
45,0.0985825910121023,1.5513240961256765,1334,P2,all
48,0.10850943435291534,3.170729119330353,1334,P2,all
51,0.09165707645435545,1.6744740925696489,1334,P2,all
54,0.10113493951655568,1.5054331965505747,1334,P2,all
57,0.10928374933009147,2.3485346663399675,1334,P2,all
60,0.09386352831752895,1.7796495717643324,1334,P2,all
63,0.11848467075851675,3.3735402486582857,1334,P2,all
66,0.09137372475387882,2.915207116554947,1334,P2,all
69,0.11735256090522019,2.489975883570886,1334,P2,all
72,0.11715569586429576,4.174876826679016,1334,P2,all
75,0.09510488226203961,1.8185807880140372,1334,P2,all
78,0.0763256576226761,1.7826859675577524,1334,P2,all
81,0.10325753524571879,3.2583220404459996,1334,P2,all
84,0.09118895818005845,2.1256738208725903,1334,P2,all
87,0.08279832794031913,1.8284022557696387,1334,P2,all
90,0.11731175643685939,2.8825948434835476,1334,P2,all
93,0.0743084560659745,1.4027648785582176,1333,P2,all
96,0.09295383139689144,2.246720647881445,1333,P2,all
99,0.11235548688684259,2.5820539861124305,1333,P2,all
102,0.052921593929603265,0.6835278311035761,1333,P2,all
105,0.08734670139918828,1.5881615751773313,1333,P2,all
108,0.07637902316052908,0.9402103591886057,1333,P2,all
111,0.048658205564486266,0.48151062231804787,1333,P2,all
114,0.06895242262648564,1.043638413774026,1333,P2,all
117,0.07525524945892446,1.4625091833535067,1333,P2,all
120,0.07762766984634134,1.0886536928302597,1333,P2,all
123,0.061406492432276694,1.0952013541362005,1332,P2,all
126,0.0687361314757883,1.0484742576479336,1332,P2,all
129,0.07114177305190375,1.0086258153989789,1332,P2,all
132,0.05020740099031513,0.7953970532838813,1332,P2,all
135,0.04287222184252393,0.5249729002078657,1332,P2,all
138,0.06520956350421461,0.9162984736401256,1332,P2,all
141,0.05461068502440635,0.8932465429954223,1332,P2,all
144,0.07138387513435353,1.2258776713338413,1332,P2,all
147,0.07316978286161671,1.644592564484395,1332,P2,all
150,0.05653599024953689,1.4302542114830141,1332,P2,all
153,0.11734447964562973,2.315527719204753,1332,P2,all
156,0.07352084726947351,0.9902775795627041,1332,P2,all
159,0.03352409222527371,0.31777865781303744,1332,P2,all
162,0.05539933819348886,0.8422621313310563,1332,P2,all
165,0.0642890524877368,1.3598276127438524,1332,P2,all
168,0.05817657346070904,1.2551583483726405,1332,P2,all
171,0.051845239497459825,0.5774904748796882,1332,P2,all
174,0.05193680274785672,0.6013025490773025,1331,P2,all
177,0.03220955732001617,0.29187635544402507,1331,P2,all
180,0.06890291467276,1.0612664038745137,1329,P2,all
183,0.04810609790508386,0.7737140008786713,1328,P2,all
186,0.03199598359210312,0.33710626107598196,1329,P2,all
189,0.06622576018781827,1.7221681068957735,1328,P2,all
192,0.0266786135579358,0.1543217853949904,1328,P2,all
195,0.05933087012548071,0.7697884305751306,1328,P2,all
198,0.06069470674414302,0.7304488725327749,1327,P2,all
201,0.016881510506861378,0.09908972118307328,1327,P2,all
204,0.04651430067253708,0.3982957512853648,1327,P2,all
207,0.055406418155933876,0.4977517026189733,1326,P2,all
210,0.050380564767858425,1.295366463132481,1326,P2,all
213,0.044363835124526414,0.4527238362789758,1325,P2,all
216,0.04024288254777964,0.3591279952976381,1322,P2,all
219,0.03357885580464385,0.37281998985512166,1321,P2,all
222,0.04724163120539198,0.42158748005402913,1320,P2,all
225,0.04169244797233385,0.35529936605407436,1319,P2,all
228,0.04685605377012389,0.5194499467248304,1316,P2,all
231,0.040625147777146514,0.3588506302492607,1315,P2,all
234,0.06134989600004555,0.7999022548903985,1308,P2,all
237,0.06742426866623434,0.8754511805879929,1306,P2,all
240,0.032501844927972624,0.38523245484419666,1297,P2,all
243,0.05871231904402106,1.1458613711418277,1285,P2,all
246,0.03947400427517747,0.4061658943643169,1273,P2,all
249,0.04692213177754827,0.5178129827473613,1265,P2,all
252,0.08380224148746976,2.1033206457155806,1263,P2,all
255,0.04283201828141938,0.4836007344675337,1262,P2,all
258,0.06288197848304497,1.0631048666461123,1263,P2,all
261,0.06618877241954413,1.156910260070312,1261,P2,all
264,0.04276694781794954,0.5830955901158568,1262,P2,all
267,0.03873182160781549,0.5540341534100993,1258,P2,all
270,0.06703317320085507,1.0361109261400137,1258,P2,all
273,0.05805680091430672,0.7270435715122557,1258,P2,all
276,0.06246718529105427,0.7954811368345854,1259,P2,all
279,0.03602696459603396,0.29690761325038467,1259,P2,all
282,0.09157405170055895,2.0908395213508886,1259,P2,all
285,0.06216363352972395,1.087170305922764,1258,P2,all
288,0.057189523847641234,0.7744170791987312,1259,P2,all
291,0.03742035640888058,0.3550592147274299,1257,P2,all
294,0.035913008023529515,0.5645393786393047,1256,P2,all
297,0.04163037809644155,0.4641447970444684,1255,P2,all
0,0.29640229148988717,4.91500944409802,1334,P4,all
3,0.048049190084721485,0.24492285254997417,1334,P4,all
6,0.03712578523315133,0.18322228471721538,1334,P4,all
9,0.0413324534811361,0.18758411675247322,1334,P4,all
12,0.028360959731028156,0.10210555591316993,1334,P4,all
15,0.03198120461437718,0.18834411549783361,1334,P4,all
18,0.02474208975310257,0.10835113646052405,1334,P4,all
21,0.03282622402587641,0.15780501548419704,1334,P4,all
24,0.03372809714572165,0.2572070408745209,1334,P4,all
27,0.028089898549953026,0.12184037725059059,1334,P4,all
30,0.02449050053469036,0.059031511997817254,1334,P4,all
33,0.034778346522568386,0.14241171729075153,1334,P4,all
36,0.03335371319491409,0.14543322171809783,1334,P4,all
39,0.03660843258731434,0.24077775752670502,1334,P4,all
42,0.03083768314018559,0.12730239761291448,1334,P4,all
45,0.025137399784661563,0.0828335497994533,1334,P4,all
48,0.025554071080687517,0.12425794513584504,1334,P4,all
51,0.024559425045546826,0.09895811356631204,1334,P4,all
54,0.029601107744443352,0.11338111465589484,1334,P4,all
57,0.027302117833013114,0.12244493799092736,1334,P4,all
60,0.025014043208203825,0.11750125988262496,1334,P4,all
63,0.03060758396171034,0.1929917503494023,1334,P4,all
66,0.024382100113594186,0.14895107840748972,1334,P4,all
69,0.029012977512627075,0.14263388964389326,1334,P4,all
72,0.029521825763625657,0.20491924831904848,1334,P4,all
75,0.025905690491627654,0.12365148197140167,1334,P4,all
78,0.021125146794898464,0.12584155205370653,1334,P4,all
81,0.022957488380510874,0.12009401758010613,1334,P4,all
84,0.022513914108109843,0.12094328929782408,1334,P4,all
87,0.019999854324189218,0.07895422108225496,1334,P4,all
90,0.026594827015046986,0.14182085888727766,1334,P4,all
93,0.017975845079685446,0.0839578238904658,1333,P4,all
96,0.022927019457171113,0.11592869873483681,1333,P4,all
99,0.025584614437722624,0.11132007832456638,1333,P4,all
102,0.015459282380689672,0.037109585358965705,1333,P4,all
105,0.021804113859858722,0.06985044629046833,1333,P4,all
108,0.021424270538087778,0.061693399315915054,1333,P4,all
111,0.015569317798496313,0.03730689084713416,1333,P4,all
114,0.019511991893601935,0.06383333282807448,1333,P4,all
117,0.020341112675476333,0.10227120522733667,1333,P4,all
120,0.016038781589026475,0.040345916253638016,1333,P4,all
123,0.018208671888083287,0.07120920234979237,1333,P4,all
126,0.017564079174151363,0.046758711294482294,1333,P4,all
129,0.020198316396305777,0.0759772601549524,1333,P4,all
132,0.01801772756909529,0.08322638541801333,1332,P4,all
135,0.013104791010136105,0.03677794793102973,1332,P4,all
138,0.02002225817690722,0.06748943019815985,1332,P4,all
141,0.023748874444890825,0.10443509158252931,1332,P4,all
144,0.02276174863816331,0.08782376938469538,1332,P4,all
147,0.01767155596017246,0.0769903948650007,1332,P4,all
150,0.016807385918990326,0.08008435998433557,1332,P4,all
153,0.025468318075361186,0.09241989458411637,1332,P4,all
156,0.0169999005141498,0.04930541481906149,1332,P4,all
159,0.009775487192250767,0.018362857852892094,1332,P4,all
162,0.014715534539856827,0.047250034003983435,1332,P4,all
165,0.024091631723994852,0.10980049861031464,1332,P4,all
168,0.01534239893852096,0.06784033488173749,1333,P4,all
171,0.019254207561985735,0.05704584068721713,1333,P4,all
174,0.017011668164514434,0.04119974376392415,1333,P4,all
177,0.008931684014978989,0.014875418060921665,1332,P4,all
180,0.016651397114850218,0.03688899033434283,1332,P4,all
183,0.014428974064693933,0.036666029607590765,1331,P4,all
186,0.01383260944927617,0.04261265910835136,1331,P4,all
189,0.018642549556664154,0.07779430850048828,1331,P4,all
192,0.015093251310965592,0.04373866324631141,1330,P4,all
195,0.02169414798384582,0.057893529886048546,1330,P4,all
198,0.016720697365048737,0.030338482590219422,1330,P4,all
201,0.009520808158258993,0.01291972618924946,1330,P4,all
204,0.018404843361439806,0.050176454915228194,1330,P4,all
207,0.021465841254804854,0.07057816907067309,1328,P4,all
210,0.015256778973972965,0.0743930712202448,1328,P4,all
213,0.018423338031442384,0.052443495381775916,1327,P4,all
216,0.012036726551676858,0.02335825790475606,1327,P4,all
219,0.013461179151951587,0.029715943590248827,1327,P4,all
222,0.015434345030876062,0.04183402695072573,1326,P4,all
225,0.012773734236088838,0.023189265855182026,1326,P4,all
228,0.020300749182394277,0.0736453985836615,1326,P4,all
231,0.014187762742507475,0.028146337435589062,1325,P4,all
234,0.01825248286856459,0.0473265915054186,1323,P4,all
237,0.017430980003435646,0.04726182632159609,1321,P4,all
240,0.011380865777836355,0.022648013652810547,1321,P4,all
243,0.01554993150949666,0.04165956729334196,1319,P4,all
246,0.01367222352338439,0.02908894028373122,1319,P4,all
249,0.01681366762769775,0.05082165960399607,1319,P4,all
252,0.01963232691925574,0.05048888378245472,1319,P4,all
255,0.013668617371417132,0.03140454432739959,1319,P4,all
258,0.018262645538281518,0.06336715879061089,1318,P4,all
261,0.017314965804780803,0.06036453086989829,1316,P4,all
264,0.013264591376118793,0.039761519446832434,1316,P4,all
267,0.01275119582372151,0.029076870837613265,1313,P4,all
270,0.015457201992324792,0.04828638159832802,1310,P4,all
273,0.01248473815613081,0.026815200887868196,1308,P4,all
276,0.013057393388998565,0.030060278738295643,1304,P4,all
279,0.01113976100746799,0.022380072380495216,1304,P4,all
282,0.026333988246150405,0.10830951475102193,1304,P4,all
285,0.01966004842702885,0.07625841483356527,1304,P4,all
288,0.017293517544948404,0.06367082559137259,1303,P4,all
291,0.010949817964872481,0.019155839034480558,1301,P4,all
294,0.009203508688400253,0.024420782669051025,1300,P4,all
297,0.013432638928763861,0.03457375676948142,1299,P4,all
