l,m,v,n,t,b
0,0.0013231203728492355,1.3498663689026009e-05,1313,Ks,all
3,0.1252792702650777,0.5109271005749787,1313,P2,all
6,0.09403643915783069,0.38513102228049,1313,P2,all
9,0.07491636573459508,0.17454439349030518,1313,P2,all
12,0.08327577794091416,0.24968454951286315,1313,P2,all
15,0.06682772928621035,0.15100478124323313,1313,P2,all
18,0.0824587156425942,0.24849033317024063,1313,P2,all
21,0.07060045248060835,0.20410969012670624,1313,P2,all
24,0.06711201243670756,0.18677895098455558,1313,P2,all
27,0.06980589153843221,0.2520878455575755,1313,P2,all
30,0.07257513674054243,0.2007194737445065,1313,P2,all
33,0.06282553311465579,0.2204392172288482,1313,P2,all
36,0.06495304325969738,0.29319147313571264,1313,P2,all
39,0.07163058186773921,0.3494078007373859,1313,P2,all
42,0.07195703436326299,0.24906431378461769,1313,P2,all
45,0.06102982951504807,0.20590972877543934,1313,P2,all
48,0.060708085142386646,0.25634084635817794,1313,P2,all
51,0.050736987353666434,0.12091162520350712,1313,P2,all
54,0.056697954125419274,0.1927257501695844,1313,P2,all
57,0.057666087688371545,0.21044787564166761,1313,P2,all
60,0.04970163897333647,0.19176425108703785,1313,P2,all
63,0.04726761726215806,0.1470298191979912,1313,P2,all
66,0.03226835826327587,0.06528497592426234,1313,P2,all
69,0.049627312186357714,0.21939559618183133,1313,P2,all
72,0.0370395374388465,0.14680398342347775,1313,P2,all
75,0.035634922111089845,0.1833734234555736,1312,P2,all
78,0.03625410835784064,0.11752197013538707,1312,P2,all
81,0.03177287043236445,0.09042532517009307,1312,P2,all
84,0.04042050545495662,0.20269123931765515,1312,P2,all
87,0.016870126823416768,0.050195870556403926,1312,P2,all
90,0.012032577123195075,0.022451041895449317,1312,P2,all
93,0.005211996424440433,0.014992175353689248,1311,P2,all
96,0.01191420591618092,0.07519533607273049,1306,P2,all
99,0.027377725513824024,0.21446920889561463,1291,P2,all
102,0.01335295030340728,0.1258284101499681,1293,P2,all
