l,m,v,n,t,b
0,0.0014712408577305285,3.524028757916927e-05,1337,Ks,all
3,0.1289643713754602,0.6675076779130321,1337,P2,all
6,0.11979863964752019,0.471403789077906,1337,P2,all
9,0.09253760015220532,0.4175906889465454,1337,P2,all
12,0.08364821095085712,0.2694301575763201,1337,P2,all
15,0.10384943548030556,0.5030408394792214,1337,P2,all
18,0.08005005550254138,0.21771854510893154,1337,P2,all
21,0.0870540656568657,0.25409130423709303,1337,P2,all
24,0.08189089622277383,0.2744250224463406,1337,P2,all
27,0.07120352604902343,0.1780873531525331,1337,P2,all
30,0.0767822144855647,0.24765702458063354,1337,P2,all
33,0.08022853441450703,0.2840537536311937,1337,P2,all
36,0.08416923610712888,0.2525104578653541,1337,P2,all
39,0.08342824526252518,0.3680631398208792,1337,P2,all
42,0.08086265118973454,0.2891283134019895,1337,P2,all
45,0.07787791426554626,0.323114792555128,1337,P2,all
48,0.07246183152644307,0.22449420790122915,1337,P2,all
51,0.06791940313125684,0.20758761667094033,1337,P2,all
54,0.0790232535565518,0.2645735623702429,1337,P2,all
57,0.08233037644507224,0.28686314753120923,1337,P2,all
60,0.07233490187467476,0.3211813934100482,1337,P2,all
63,0.07316839608189561,0.23426272054843902,1337,P2,all
66,0.08427642421314074,0.3484142849306927,1337,P2,all
69,0.09946385909402437,0.513399883535783,1337,P2,all
72,0.08331512366645258,0.2527636297376241,1337,P2,all
75,0.08499645777378452,0.40155102168852097,1337,P2,all
78,0.08095557245272657,0.3771606274582871,1337,P2,all
81,0.06842692989758309,0.17468014783365252,1337,P2,all
84,0.0759505237107602,0.2979704009279302,1337,P2,all
87,0.07656064521191674,0.2505248094105209,1337,P2,all
90,0.07684506628966353,0.2872527296301748,1337,P2,all
93,0.06004659865754234,0.19734983215945404,1337,P2,all
96,0.06763259309577913,0.18402549833173384,1337,P2,all
99,0.07068977430862354,0.2283899260943951,1337,P2,all
102,0.06865157769898031,0.19729416603034372,1337,P2,all
105,0.054434807534444546,0.12929196215732003,1337,P2,all
108,0.06333506544945935,0.16759554445671282,1337,P2,all
111,0.07427339733878774,0.21218049797372204,1337,P2,all
114,0.07549663450973461,0.2934811801005067,1337,P2,all
117,0.07359902925930857,0.3405092769391783,1337,P2,all
120,0.05367439171711484,0.15771416183995227,1337,P2,all
123,0.06742480707770583,0.25503089694962416,1337,P2,all
126,0.07000848399828644,0.26041749158164973,1337,P2,all
129,0.05780496826307217,0.19178745919297513,1337,P2,all
132,0.07665698139027843,0.6287585633695586,1337,P2,all
135,0.0640019176733781,0.2890430829737167,1337,P2,all
138,0.050513102466487506,0.10294915238025754,1336,P2,all
141,0.05024657057213462,0.11558322786503225,1336,P2,all
144,0.06364998814585998,0.18999890421711033,1336,P2,all
147,0.06476367198945243,0.31974733777099207,1336,P2,all
150,0.05041598282541818,0.12784202861145982,1335,P2,all
153,0.05489385587897703,0.14280805433776397,1335,P2,all
156,0.05585882203877728,0.14006708916995866,1335,P2,all
159,0.05725509389426504,0.1972365798444773,1334,P2,all
162,0.07741102544812448,0.521689763142571,1334,P2,all
165,0.07758689702330006,0.33194119839336034,1334,P2,all
168,0.061080779026615795,0.2622956263878721,1334,P2,all
171,0.05094544642605486,0.12499302882876195,1332,P2,all
174,0.051824698702011784,0.14849908239235088,1331,P2,all
177,0.054646989511978564,0.2084061121065902,1331,P2,all
180,0.05096649621730124,0.11902900341535445,1331,P2,all
183,0.051571657498332896,0.15135213730191108,1331,P2,all
186,0.07176640940637101,0.587101674425613,1331,P2,all
189,0.05494042710172169,0.15696735512642415,1331,P2,all
192,0.08560359087468923,0.5898767808988791,1330,P2,all
195,0.06685339201539806,0.20458279255174963,1330,P2,all
198,0.06182862260163703,0.1732326934050658,1330,P2,all
201,0.07527811770521295,1.1915534520393116,1330,P2,all
204,0.08881674866957766,0.8212531041241244,1330,P2,all
207,0.0770775223154087,0.6039040707788859,1330,P2,all
210,0.06600903947875746,0.480114151984758,1327,P2,all
213,0.0539772379178072,0.1795053652915148,1326,P2,all
216,0.06049815345827259,0.19566973386068065,1326,P2,all
219,0.0654236407543114,0.30012841631734677,1325,P2,all
222,0.04065142230353264,0.0869849528341702,1325,P2,all
225,0.05267303498204185,0.2363854431798983,1324,P2,all
228,0.0595608704304135,0.2365482739266586,1322,P2,all
231,0.0459379096002191,0.16134065499477268,1321,P2,all
234,0.05284519390784537,0.23007304990562014,1320,P2,all
237,0.03829629200939123,0.09658755185647068,1319,P2,all
240,0.050592111745282595,0.14692940454893297,1314,P2,all
243,0.07904833836044471,0.652023536135609,1305,P2,all
246,0.03784309638550681,0.1176293538336293,1292,P2,all
249,0.06363891512027686,0.5844501167686651,1286,P2,all
252,0.053991379837884206,0.17800743388454088,1284,P2,all
255,0.04394781816772543,0.11167008840240136,1284,P2,all
258,0.05970632513851825,0.24198089319380922,1284,P2,all
261,0.05581631499344003,0.24095790074061815,1285,P2,all
264,0.045634068468366575,0.1727745698998943,1284,P2,all
267,0.05296624634199292,0.25151978336542186,1286,P2,all
270,0.08757433113727267,2.6404679280202425,1285,P2,all
273,0.08118432392182177,1.29195920540345,1285,P2,all
276,0.15371758140871966,11.405516230600462,1283,P2,all
279,0.05038848096618457,0.16515611451661835,1282,P2,all
282,0.056507849956433404,0.2334212921308046,1283,P2,all
285,0.04900443325741176,0.14705634408456797,1281,P2,all
288,0.1082148844959931,4.848006774823667,1280,P2,all
291,0.04115567619961536,0.10739799438863862,1281,P2,all
294,0.044399311129045944,0.1557067962672989,1280,P2,all
297,0.05718160147830337,0.21148766852223547,1279,P2,all
0,0.334139713188889,2.0627525089725722,1337,P4,all
3,0.040224195543897834,0.05847902798702378,1337,P4,all
6,0.03798809539044046,0.03934564772697114,1337,P4,all
9,0.032322462583651485,0.03584762169984716,1337,P4,all
12,0.028994882794914984,0.03221816202783268,1337,P4,all
15,0.03595684088067141,0.045434339295649113,1337,P4,all
18,0.028060727180899147,0.022622434150498152,1337,P4,all
21,0.028576125396877324,0.026077129605605587,1337,P4,all
24,0.030197916289143766,0.03442791671492473,1337,P4,all
27,0.02451503330065349,0.01821248958391877,1337,P4,all
30,0.025570381954049103,0.021253600512431768,1337,P4,all
33,0.027789042880168358,0.031268382639107015,1337,P4,all
36,0.030221348591133613,0.030788768536067827,1337,P4,all
39,0.028344770916640463,0.03719414993061018,1337,P4,all
42,0.026860768871099044,0.02725842537229386,1337,P4,all
45,0.02591491952432754,0.02546192619015845,1337,P4,all
48,0.026055601681495875,0.02554974787869471,1337,P4,all
51,0.022597329357382866,0.021066754475513906,1337,P4,all
54,0.027189697594421258,0.026982741481561563,1337,P4,all
57,0.02583627644645192,0.024462465907809254,1337,P4,all
60,0.024358872321199366,0.023369488212751408,1337,P4,all
63,0.02561889215529839,0.026170484815137892,1337,P4,all
66,0.030500441183743662,0.03570703677773978,1337,P4,all
69,0.03158068983360178,0.051683386171579894,1337,P4,all
72,0.025840280252020106,0.025071250553447215,1337,P4,all
75,0.027705380420488732,0.03965812503143704,1337,P4,all
78,0.02678341047670752,0.03772535229399548,1337,P4,all
81,0.024665448442100748,0.025183403472577286,1337,P4,all
84,0.026550243188048963,0.03092131580457165,1337,P4,all
87,0.027477602638707552,0.028453671492938665,1337,P4,all
90,0.02506604324590165,0.024047345800876932,1337,P4,all
93,0.022014528840412176,0.02699997079413982,1337,P4,all
96,0.025222103539632865,0.024194032906012575,1337,P4,all
99,0.023529308718957226,0.020243738040809357,1337,P4,all
102,0.02365854384171453,0.019593775695614053,1337,P4,all
105,0.019334877072883217,0.014922690760643708,1337,P4,all
108,0.026233861712771697,0.031175375501492516,1337,P4,all
111,0.02658011445603679,0.02648323515457532,1337,P4,all
114,0.02448808533085786,0.024382197488222075,1337,P4,all
117,0.025353373782962613,0.031763555147657156,1337,P4,all
120,0.01946109852319377,0.020302725161782463,1337,P4,all
123,0.023229447421897816,0.027825272103802496,1337,P4,all
126,0.024863758734280664,0.027951493878416212,1337,P4,all
129,0.019296856451765366,0.018872882765085842,1337,P4,all
132,0.02433900049772119,0.03951743090462344,1337,P4,all
135,0.020192451030629763,0.02165544540953031,1337,P4,all
138,0.018515200071308944,0.015279518223337746,1337,P4,all
141,0.01864260058840918,0.018193358405903526,1337,P4,all
144,0.023631932325279516,0.02240630255677144,1337,P4,all
147,0.022631571135030025,0.028412144969102625,1336,P4,all
150,0.018810616280599542,0.014608288293625052,1335,P4,all
153,0.018333471979722595,0.015071937480880376,1335,P4,all
156,0.020268360041939812,0.01898612453914695,1335,P4,all
159,0.019122250298623522,0.016707184993009338,1334,P4,all
162,0.024881756907349752,0.05456979663885771,1334,P4,all
165,0.02561676792636856,0.023724022254013096,1334,P4,all
168,0.0222201437713111,0.026980967890447044,1334,P4,all
171,0.01999205590661748,0.01899107207985172,1333,P4,all
174,0.02035666319336205,0.01977608405133597,1333,P4,all
177,0.019661420580899588,0.01839714720623896,1333,P4,all
180,0.01919872929187285,0.015934392118616192,1333,P4,all
183,0.019987951993147752,0.02182962866681042,1333,P4,all
186,0.023566255392678724,0.04322940851055096,1333,P4,all
189,0.017162880566457126,0.014285347514279848,1333,P4,all
192,0.02527152461728184,0.037595112092870114,1333,P4,all
195,0.02461837569784701,0.029184907251556196,1333,P4,all
198,0.02299388616589997,0.029334507659815486,1333,P4,all
201,0.026525430171700847,0.08297972440775411,1333,P4,all
204,0.0233762979360632,0.02983723176096354,1333,P4,all
207,0.02547282356563809,0.03478143323840104,1333,P4,all
210,0.02101467661788484,0.01971888920193826,1332,P4,all
213,0.02007431811124678,0.01888575888739868,1331,P4,all
216,0.021063221446099317,0.018880216435141362,1331,P4,all
219,0.023712394416918116,0.0339547293731427,1331,P4,all
222,0.016680952427269347,0.012535568472034023,1331,P4,all
225,0.017204769426915765,0.015627209124896405,1331,P4,all
228,0.020116875202142052,0.02021431332930476,1328,P4,all
231,0.020977461496356417,0.03803497552599457,1327,P4,all
234,0.01945507603463819,0.01813126848205009,1324,P4,all
237,0.016528295500779153,0.014364066145022765,1324,P4,all
240,0.016688796418161813,0.014922367833060595,1324,P4,all
243,0.02472323380553298,0.061082694396174725,1324,P4,all
246,0.013341792284589437,0.0101951570896878,1324,P4,all
249,0.020402994105999564,0.020157668498503024,1323,P4,all
252,0.02001455223798848,0.022156703215397568,1322,P4,all
255,0.015724769955754368,0.010607404812117343,1322,P4,all
258,0.01996815856978541,0.021569985560122455,1322,P4,all
261,0.018033264370712333,0.01760010319672249,1322,P4,all
264,0.016187143680862316,0.01621086672348681,1321,P4,all
267,0.01642971985091537,0.018423398992139173,1320,P4,all
270,0.02345199329885751,0.1202707702719799,1318,P4,all
273,0.02117369775483232,0.021199082269080488,1315,P4,all
276,0.03033795483271796,0.16465749857548875,1313,P4,all
279,0.01974460298175073,0.019634474673219993,1312,P4,all
282,0.021210590613581458,0.025787828034607926,1310,P4,all
285,0.01604382291721682,0.013608537562555718,1309,P4,all
288,0.01905617148203692,0.019304075959826958,1307,P4,all
291,0.016104903573451675,0.013767850951542909,1307,P4,all
294,0.01537202890342883,0.014081547421866963,1307,P4,all
297,0.022320230685761715,0.023272512669110578,1306,P4,all
