l,m,v,n,t,b
0,0.00041510748755143115,9.559718419505957e-06,1351,Ks,all
3,0.16227777387000117,4.266534361213788,1351,P2,all
6,0.10611854938181328,2.278930240461171,1351,P2,all
9,0.13427964785357377,3.1669514709209685,1351,P2,all
12,0.11534158987795663,1.844074513665176,1351,P2,all
15,0.11323146555095252,2.4523103664684194,1351,P2,all
18,0.09377754785701273,2.25449800973966,1351,P2,all
21,0.06738484128868734,1.4067825390560407,1351,P2,all
24,0.10304721742799047,3.130253867427726,1351,P2,all
27,0.09933599038233704,2.3948431694950476,1351,P2,all
30,0.12226552422479993,3.9000049384778896,1351,P2,all
33,0.10266614974721203,2.221342473711462,1351,P2,all
36,0.061824892699674124,0.8324492166222993,1351,P2,all
39,0.09880453774234293,2.252158607610863,1351,P2,all
42,0.10759734520114102,2.6111117476852534,1351,P2,all
45,0.10802380872315437,2.7125243957175225,1351,P2,all
48,0.11282972742357239,3.1549856606097384,1351,P2,all
51,0.1151028949009978,2.7853367726557803,1351,P2,all
54,0.07130367199383067,1.4451354205438436,1351,P2,all
57,0.07205819869045314,1.7471917895269244,1351,P2,all
60,0.10268599147294294,1.7540624337326034,1351,P2,all
63,0.13424714388288378,3.8079128297502827,1351,P2,all
66,0.05831260345451258,0.7527655237031988,1351,P2,all
69,0.07255154569997327,1.1195041309015719,1351,P2,all
72,0.07284441804783912,1.7320829577768178,1351,P2,all
75,0.04567517897486932,0.4366763077004348,1351,P2,all
78,0.06433422918782652,1.1688632445007965,1351,P2,all
81,0.06800564522240776,1.244055531151476,1351,P2,all
84,0.036760650826512684,0.5196214436870641,1351,P2,all
87,0.05747752034310416,0.9164768112120955,1350,P2,all
90,0.07136400160674303,1.2903326521461784,1350,P2,all
93,0.036442313060048304,0.3847560309458604,1350,P2,all
96,0.04443841000263933,0.5817132444027762,1349,P2,all
99,0.038631891993460184,0.751658112571729,1349,P2,all
102,0.030738656290131023,0.3301879174263552,1349,P2,all
105,0.04939430403616218,0.8677053282611269,1349,P2,all
108,0.06981805040985309,1.1594496815542485,1348,P2,all
111,0.04539091469857439,0.5855935075427152,1348,P2,all
114,0.04972915699331432,0.8172665334577413,1347,P2,all
117,0.05222705864702883,1.2454341967736648,1347,P2,all
120,0.06508606585256718,1.3410812680548643,1347,P2,all
123,0.06993896624177029,1.3740501936680003,1347,P2,all
126,0.03584160346867208,0.41977232451576657,1347,P2,all
129,0.05167653443688381,1.0381129906477644,1347,P2,all
132,0.06324895558631645,2.8747189868629452,1346,P2,all
135,0.028560498819997383,0.3928234805169822,1346,P2,all
138,0.014269861664956411,0.06674902011479954,1346,P2,all
141,0.05541327031658511,0.9850268640679152,1346,P2,all
144,0.04461439592414913,0.479468488194227,1346,P2,all
147,0.018902732648574352,0.1800040351495981,1346,P2,all
150,0.03571124328853304,0.7803373704250094,1345,P2,all
153,0.015131325728844416,0.12336758388760463,1345,P2,all
156,0.01977543220941787,0.2030545556066887,1345,P2,all
159,0.021196985057298258,0.2093989002489356,1345,P2,all
162,0.012411077386604269,0.08120742975689847,1345,P2,all
165,0.029116024853260664,0.7693349455371303,1345,P2,all
168,0.06388397509880896,1.867096855998437,1345,P2,all
171,0.04779826896476188,0.8872883068540764,1344,P2,all
174,0.054085961780563074,1.1253450607352957,1343,P2,all
177,0.03662420636874013,0.8491974401601606,1343,P2,all
180,0.03680545336455186,1.0905873878500996,1343,P2,all
183,0.08795360811676282,6.866993162000842,1342,P2,all
186,0.020801009096092903,0.240906539314489,1340,P2,all
189,0.010605853725011376,0.03697664449239867,1339,P2,all
192,0.07840237895535898,4.6066812727848925,1338,P2,all
