l,m,v,n,t,b
0,0.00032433117569258274,3.0501604561694953e-06,1343,Ks,all
3,0.11860863324788645,2.295116573685607,1343,P2,all
6,0.10522367381088131,2.7724242918804576,1343,P2,all
9,0.08839378088516303,1.6710059558074921,1343,P2,all
12,0.07656636872263763,0.9331115620952876,1343,P2,all
15,0.058010401664085144,0.6514740723938498,1343,P2,all
18,0.047469519604440444,0.38654950602281235,1343,P2,all
21,0.06095939173756812,0.45837871467799324,1343,P2,all
24,0.051997948612156675,0.6212823143483239,1343,P2,all
27,0.05359065071949361,0.49352851405057024,1343,P2,all
30,0.0700403829915725,0.7760770968687876,1343,P2,all
33,0.045139061207060585,0.5982261722589121,1343,P2,all
36,0.05841700987413186,1.2786446145973143,1343,P2,all
39,0.12436848098323246,3.9623509923492826,1343,P2,all
42,0.05890121413454512,1.0123773765171833,1343,P2,all
45,0.052329274729806766,1.4974200744119213,1343,P2,all
48,0.07195186903727425,1.8099155732172683,1343,P2,all
51,0.06318119445977763,0.9573361754084347,1343,P2,all
54,0.07704091145108123,3.8738641911722547,1343,P2,all
57,0.04190758550450195,0.6518910606953747,1343,P2,all
60,0.07818154760792179,3.075148804649017,1343,P2,all
63,0.06401289941211562,1.901049273775729,1343,P2,all
66,0.0381142314572038,0.38061680015499294,1343,P2,all
69,0.054467658524346214,0.7002108903432854,1343,P2,all
72,0.06253308165773117,1.471159356156128,1343,P2,all
75,0.06307385090866016,2.9591622793133974,1343,P2,all
78,0.04805419153752509,0.946561229688839,1343,P2,all
81,0.07322494658938718,3.3288939598650176,1343,P2,all
84,0.05310753031723899,1.9879386322755404,1343,P2,all
87,0.058330978710234536,2.2306449738939267,1343,P2,all
90,0.07887133517924118,3.2087682697219333,1343,P2,all
93,0.07284414525390515,2.758274916382582,1342,P2,all
96,0.05743427726955215,1.837080590604881,1342,P2,all
99,0.0698447918675019,4.199345822926636,1342,P2,all
102,0.04490740545569295,0.992688574727487,1342,P2,all
105,0.06025577826943881,2.188914504106709,1342,P2,all
108,0.05937123948342765,2.119306263108978,1342,P2,all
111,0.03570357274231054,0.8112004700897385,1342,P2,all
114,0.04220263858213688,1.3833142933160416,1342,P2,all
117,0.026744654067415677,0.24129675578886053,1342,P2,all
120,0.019710909358226576,0.10067542213998565,1342,P2,all
123,0.03725717208627711,0.6344561992467326,1342,P2,all
126,0.011958100162067654,0.034041606574041386,1342,P2,all
129,0.05978036628989618,2.4115520045136996,1342,P2,all
132,0.03745919949437551,0.7327908107166782,1342,P2,all
135,0.06870684569602913,4.11662783590285,1342,P2,all
138,0.06878942451622061,3.423184294027864,1340,P2,all
141,0.029642966488537908,0.49998789745046274,1340,P2,all
144,0.05358407956395268,1.1287798124773425,1340,P2,all
147,0.03203187079460323,0.3086044198916454,1340,P2,all
150,0.012417381399382726,0.021184399596617855,1340,P2,all
153,0.02900585130295214,0.31274619346208404,1340,P2,all
156,0.015348219342208197,0.06547279235568479,1340,P2,all
159,0.026850437590560727,0.5047632106654062,1340,P2,all
162,0.030067645819495035,0.383852714699131,1340,P2,all
165,0.018859796387718206,0.14307734802032387,1340,P2,all
168,0.03816006831090979,0.6854079996549899,1340,P2,all
171,0.0244900755762161,0.2544942045577991,1340,P2,all
174,0.03353430224496307,0.19946081835938362,1340,P2,all
177,0.022593122950171685,0.11870592486015903,1340,P2,all
180,0.02141157488689138,0.1211096940425836,1340,P2,all
183,0.021044444826057003,0.15526082688747195,1338,P2,all
186,0.014496419397214473,0.04349859663631183,1338,P2,all
189,0.015214323911768508,0.048001872801362616,1337,P2,all
