l,m,v,n,t,b
0,0.0012192697034883902,1.4125032405849344e-05,1337,Ks,all
3,0.10508913509219137,0.2222207636878632,1337,P2,all
6,0.09189571811319877,0.17113966785815263,1337,P2,all
9,0.09192573757208075,0.27594841974163636,1337,P2,all
12,0.0704713755642625,0.11785568410501225,1337,P2,all
15,0.07039185270903627,0.13099371773374366,1337,P2,all
18,0.09277286391896616,0.4313950789751258,1337,P2,all
21,0.08626524774579857,0.2023135320136343,1337,P2,all
24,0.07446961045331732,0.12031869125302619,1337,P2,all
27,0.09442528717631231,0.24823698134706204,1337,P2,all
30,0.08724013395298617,0.21275346392277145,1337,P2,all
33,0.06820660845313727,0.10992470377798626,1337,P2,all
36,0.09394655998934796,0.3229014330184164,1337,P2,all
39,0.07359097253863418,0.13134149164991424,1337,P2,all
42,0.07056430181718004,0.13716769796593253,1337,P2,all
45,0.0804142410092631,0.25272852100365795,1337,P2,all
48,0.07246934539264789,0.16423909543941587,1337,P2,all
51,0.05983136725389511,0.08396258972068509,1337,P2,all
54,0.07621925494873612,0.14776210147403346,1337,P2,all
57,0.06739200605722198,0.12714045984868258,1337,P2,all
60,0.0666251477191036,0.1128663194654306,1337,P2,all
63,0.05896507765159342,0.09290573841322913,1337,P2,all
66,0.06651543310528016,0.14520060983111818,1337,P2,all
69,0.06233323926988647,0.1032394425127203,1337,P2,all
72,0.06821499144745538,0.15081739549176118,1337,P2,all
75,0.0615481261431999,0.14164131201407923,1337,P2,all
78,0.054313132220857485,0.06758626998130031,1337,P2,all
81,0.06575650388104941,0.1268543275268894,1337,P2,all
84,0.05371175919025224,0.0732454312869828,1337,P2,all
87,0.05993378696936474,0.09498837026074508,1337,P2,all
90,0.057292298375781994,0.0632970613429165,1337,P2,all
93,0.052497592442272575,0.06691491140164135,1336,P2,all
96,0.05204714897378597,0.05621813383269554,1337,P2,all
99,0.06348535095408123,0.09741873509081982,1337,P2,all
102,0.07067367914261483,0.1812324390222148,1337,P2,all
105,0.0636239433149129,0.13245710010109157,1336,P2,all
108,0.05201306903557705,0.05340573745676449,1336,P2,all
111,0.05447833148189842,0.07702501727708946,1335,P2,all
114,0.049228893418379355,0.05781865524086157,1335,P2,all
117,0.05340802190412063,0.08990917120280492,1335,P2,all
120,0.0539359938032421,0.07137984101135904,1334,P2,all
123,0.05678360714250671,0.11043584610883232,1334,P2,all
126,0.06509055632452482,0.20543375020410173,1334,P2,all
129,0.05081605615081983,0.07296610252891184,1334,P2,all
132,0.04924103587840185,0.06676911736881506,1334,P2,all
135,0.04336813970652952,0.054863903018929745,1333,P2,all
138,0.058049300084353446,0.07893950555640039,1333,P2,all
141,0.05194222414376139,0.0793958588038599,1333,P2,all
144,0.06550981365578361,0.15104786202385834,1333,P2,all
147,0.05053784761335662,0.07094407917579724,1333,P2,all
150,0.06475609052344246,0.2160105097155068,1333,P2,all
153,0.04656253345915743,0.07302406731764716,1332,P2,all
156,0.04839312113922652,0.05733567187513802,1332,P2,all
159,0.06399810145182618,0.1427753637918175,1332,P2,all
162,0.06618117786101693,0.3451754354384086,1332,P2,all
165,0.05015234243757742,0.06597883199539774,1332,P2,all
168,0.05121092953798612,0.07968592166339687,1331,P2,all
171,0.075411165244537,0.4780409343475468,1330,P2,all
174,0.047697220268536025,0.06412351689008414,1330,P2,all
177,0.05182505729533308,0.23897026097279087,1330,P2,all
180,0.051801737526691434,0.07469134431036596,1330,P2,all
183,0.044090946858701914,0.06034137507407764,1330,P2,all
186,0.05396268775534626,0.08114010325610439,1330,P2,all
189,0.05529160348226016,0.11251548938015071,1329,P2,all
192,0.05871345404107028,0.16419240674338412,1328,P2,all
195,0.04153223092324695,0.04239229474356479,1328,P2,all
198,0.05720674598534169,0.0997275681644133,1327,P2,all
201,0.06507934848652608,0.12882559760342377,1327,P2,all
204,0.05006304483722954,0.09953370867262384,1327,P2,all
207,0.0395090254892703,0.056610892543615836,1326,P2,all
210,0.04259116322624727,0.05050681058679723,1326,P2,all
213,0.05797181873836879,0.11874361644342443,1326,P2,all
216,0.0393206209405715,0.04640621965628741,1325,P2,all
219,0.04545978425463831,0.07989605988925282,1325,P2,all
222,0.05442856943967551,0.13957456532909382,1323,P2,all
225,0.04410120794969539,0.06337519833192914,1321,P2,all
228,0.04191540709211291,0.07518458950485221,1320,P2,all
231,0.0525126922915138,0.1541682127519454,1319,P2,all
234,0.03762609871139318,0.04599919323650581,1319,P2,all
237,0.040100176998789344,0.05652111781585064,1314,P2,all
240,0.03654242287629077,0.045024222567143675,1314,P2,all
243,0.05332131501470636,0.14806125888436567,1311,P2,all
246,0.039255460122640994,0.05508480339624276,1294,P2,all
249,0.04666126850517036,0.07075590316984826,1268,P2,all
252,0.04769504700842948,0.07214292477715074,1267,P2,all
255,0.053273495055005685,0.08321607645515837,1267,P2,all
258,0.055317126572121705,0.11942046712068342,1266,P2,all
261,0.081432487352822,0.30759470356946256,1266,P2,all
264,0.04891786956531189,0.09518081240789471,1265,P2,all
267,0.04594855002008794,0.07523181492221392,1265,P2,all
270,0.06543861755336884,0.15834287782999498,1264,P2,all
273,0.05395939690846545,0.11113216888828512,1262,P2,all
276,0.05744992032212584,0.11593419509335949,1261,P2,all
279,0.04516217992088004,0.08167042968837301,1262,P2,all
282,0.044121219871910373,0.06571022777482459,1263,P2,all
285,0.05389139658220342,0.14738063556208475,1261,P2,all
288,0.03729294390247139,0.0565635648732001,1264,P2,all
291,0.04672732176678436,0.08529625815309935,1261,P2,all
294,0.044082710291529305,0.10781341529506633,1260,P2,all
297,0.043450962841147855,0.06289611507127377,1261,P2,all
0,0.22208553046407412,0.8851810339632201,1337,P4,all
3,0.025283930717738604,0.02086812694681447,1337,P4,all
6,0.022092143811825185,0.01779373677003934,1337,P4,all
9,0.02272516211108949,0.021686015925787425,1337,P4,all
12,0.016574082793978484,0.01215600923623513,1337,P4,all
15,0.018499092225719074,0.014231217378065446,1337,P4,all
18,0.025017000792902984,0.0295946909496758,1337,P4,all
21,0.020906929462465227,0.018704436403212805,1337,P4,all
24,0.01697204977100476,0.009408055775253575,1337,P4,all
27,0.0200686977397482,0.016278203309166395,1337,P4,all
30,0.020694250623057752,0.025169229881433598,1337,P4,all
33,0.017547777896206117,0.012281807999791318,1337,P4,all
36,0.023968127465776753,0.034440927498300265,1337,P4,all
39,0.018206777482824354,0.011555671556845148,1337,P4,all
42,0.01772455561088463,0.014237199523808643,1337,P4,all
45,0.019336375635191205,0.017925904981526245,1337,P4,all
48,0.018633695014505933,0.019318469789727892,1337,P4,all
51,0.01452301474546081,0.010464610496912743,1337,P4,all
54,0.017045925754281214,0.011414488436142225,1337,P4,all
57,0.01595429457072629,0.011092078343198877,1337,P4,all
60,0.015311556733560291,0.010274893063750346,1337,P4,all
63,0.015046766480560917,0.013331878490902112,1337,P4,all
66,0.015602567372629541,0.011768667578423316,1337,P4,all
69,0.015876679436038422,0.009070283561437749,1337,P4,all
72,0.015404475491537152,0.01326821313155829,1337,P4,all
75,0.014078306783090836,0.010689806394636427,1337,P4,all
78,0.012607649403675258,0.006581253015334526,1337,P4,all
81,0.016638170830532612,0.014524149217467095,1337,P4,all
84,0.014774011029952213,0.011213790284152828,1337,P4,all
87,0.012815687749926837,0.007172433759150264,1337,P4,all
90,0.012765087157585708,0.004601735031825544,1337,P4,all
93,0.012337060044909948,0.005628850026815646,1337,P4,all
96,0.012769913531332175,0.006337460592464818,1337,P4,all
99,0.013528615774546388,0.007193164396277814,1337,P4,all
102,0.01568112595265074,0.015864531938155433,1337,P4,all
105,0.011232294416802662,0.00413365281211201,1337,P4,all
108,0.013502219048607784,0.007118251985224551,1337,P4,all
111,0.014690913672914044,0.013387669149454625,1337,P4,all
114,0.011994941862867311,0.0064143637818432665,1337,P4,all
117,0.013897168920004742,0.013810886331693466,1337,P4,all
120,0.012318478432876777,0.00620563697230154,1336,P4,all
123,0.014608684596137211,0.012833611209088514,1336,P4,all
126,0.017649502341229216,0.018269626893700274,1336,P4,all
129,0.013148617621995453,0.00789835724461496,1336,P4,all
132,0.011643314786158019,0.009373146662547275,1336,P4,all
135,0.011118989282591009,0.006846777390935044,1336,P4,all
138,0.012738254936373976,0.0059162373611736435,1335,P4,all
141,0.011917009451860982,0.008948690967925138,1335,P4,all
144,0.01456747487513811,0.013520439817183413,1335,P4,all
147,0.011994597480663689,0.006090981120921697,1335,P4,all
150,0.013239793686002739,0.007300302630320927,1335,P4,all
153,0.01119622501091674,0.006612202031977083,1334,P4,all
156,0.01236145120019074,0.007481097579639117,1334,P4,all
159,0.01611237158937067,0.017897286271194666,1334,P4,all
162,0.014608335201312135,0.02053095709844007,1334,P4,all
165,0.012975129256500106,0.008437456951013809,1334,P4,all
168,0.01071705934915477,0.00457383493109738,1334,P4,all
171,0.012773004889414605,0.008468312761544857,1333,P4,all
174,0.011345732236980578,0.0073693271573064345,1333,P4,all
177,0.011443906036492882,0.00986759814236158,1333,P4,all
180,0.012408380402644924,0.008523772812474817,1333,P4,all
183,0.009037818800250275,0.004030986488942021,1333,P4,all
186,0.013887746440474774,0.009663359607762791,1333,P4,all
